"bid","lid","aid","sid","x","z","hit1","hit2"
2,1032,0,34,-14.762,-9.82,1,1
332,1032,0,34,-14.7745,-9.8,1,1
1,1032,1,7,-20.1522,-9.16594,1,1
330,1032,1,7,-20.0881,-9.19788,1,1
1,1032,1,34,-21.8701,-5.97556,1,1
330,1032,1,34,-21.849,-5.936,1,1
33,1032,1,36,-20.0362,-2.91816,1,1
331,1032,1,36,-20.0253,-2.89974,1,1
32,1032,1,38,-19.6298,-1.51248,1,1
35,1032,1,38,-19.624,-1.53159,1,1
2,1032,2,7,-19.2216,-9.82,1,1
332,1032,2,7,-19.2229,-9.8,1,1
2,1033,0,34,-13.762,-9.82,1,1
332,1033,0,34,-13.7745,-9.8,1,1
1,1033,1,8,-20.5543,-8.41919,1,1
330,1033,1,8,-20.4889,-8.4554,1,1
1,1033,1,33,-21.35,-6.94135,1,1
330,1033,1,33,-21.3291,-6.89908,1,1
33,1033,1,36,-19.5502,-3.77952,1,1
331,1033,1,36,-19.5504,-3.77986,1,1
32,1033,1,38,-18.764,-1.06807,1,1
35,1033,1,38,-18.7578,-1.08865,1,1
2,1033,2,7,-18.2216,-9.82,1,1
332,1033,2,7,-18.2229,-9.8,1,1
2,1034,0,34,-12.762,-9.82,1,1
332,1034,0,34,-12.7745,-9.8,1,1
330,1034,1,13,-20.8606,-7.76682,1,1
1,1034,1,15,-20.8896,-7.79639,1,1
1,1034,1,18,-20.8868,-7.80173,1,1
330,1034,1,19,-20.823,-7.83646,1,1
33,1034,1,35,-19.0909,-4.59339,1,1
331,1034,1,35,-19.1023,-4.61033,1,1
32,1034,1,39,-17.9234,-0.636567,1,1
35,1034,1,39,-17.9116,-0.655912,1,1
2,1034,2,7,-17.2216,-9.82,1,1
332,1034,2,7,-17.2229,-9.8,1,1
2,1035,0,34,-11.762,-9.82,1,1
332,1035,0,34,-11.7745,-9.8,1,1
34,1035,1,35,-18.2231,-4.79,1,1
333,1035,1,35,-18.2298,-4.8,1,1
32,1035,1,39,-17.1632,-0.246285,1,1
35,1035,1,39,-17.1506,-0.26677,1,1
2,1035,2,7,-16.2216,-9.82,1,1
332,1035,2,7,-16.2229,-9.8,1,1
2,1036,0,34,-10.762,-9.82,1,1
332,1036,0,34,-10.7745,-9.8,1,1
34,1036,1,35,-17.2231,-4.79,1,1
333,1036,1,35,-17.2298,-4.8,1,1
32,1036,1,39,-16.4029,0.143996,1,1
2,1036,2,7,-15.2217,-9.82,1,1
332,1036,2,7,-15.2229,-9.8,1,1
2,1037,0,34,-9.76204,-9.82,1,1
332,1037,0,34,-9.77452,-9.8,1,1
34,1037,1,35,-16.2231,-4.79,1,1
333,1037,1,35,-16.2298,-4.8,1,1
31,1037,1,39,-15.511,0.32,1,1
2,1037,2,7,-14.2217,-9.82,1,1
332,1037,2,7,-14.2229,-9.8,1,1
2,1038,0,34,-8.76204,-9.82,1,1
332,1038,0,34,-8.77452,-9.8,1,1
34,1038,1,35,-15.2231,-4.79,1,1
333,1038,1,35,-15.2298,-4.8,1,1
31,1038,1,39,-14.511,0.32,1,1
2,1038,2,7,-13.2216,-9.82,1,1
332,1038,2,7,-13.2229,-9.8,1,1
2,1039,0,34,-7.76204,-9.82,1,1
332,1039,0,34,-7.77452,-9.8,1,1
34,1039,1,35,-14.2231,-4.79,1,1
333,1039,1,35,-14.2298,-4.8,1,1
31,1039,1,39,-13.511,0.32,1,1
2,1039,2,7,-12.2216,-9.82,1,1
332,1039,2,7,-12.2229,-9.8,1,1
2,1040,0,34,-6.76204,-9.82,1,1
332,1040,0,34,-6.77452,-9.8,1,1
34,1040,1,35,-13.2231,-4.79,1,1
333,1040,1,35,-13.2298,-4.8,1,1
31,1040,1,39,-12.511,0.32,1,1
2,1040,2,7,-11.2216,-9.82,1,1
332,1040,2,7,-11.2229,-9.8,1,1
2,1041,0,34,-5.76204,-9.82,1,1
332,1041,0,34,-5.77452,-9.8,1,1
34,1041,1,35,-12.2231,-4.79,1,1
333,1041,1,35,-12.2298,-4.8,1,1
31,1041,1,39,-11.511,0.32,1,1
2,1041,2,7,-10.2216,-9.82,1,1
332,1041,2,7,-10.2229,-9.8,1,1
2,1042,0,34,-4.76204,-9.82,1,1
332,1042,0,34,-4.77452,-9.8,1,1
34,1042,1,35,-11.2231,-4.79,1,1
334,1042,1,35,-11.2298,-4.8,1,1
31,1042,1,39,-10.511,0.32,1,1
2,1042,2,7,-9.22165,-9.82,1,1
332,1042,2,7,-9.22288,-9.8,1,1
2,1043,0,34,-3.76204,-9.82,1,1
332,1043,0,34,-3.77452,-9.8,1,1
34,1043,1,35,-10.2231,-4.79,1,1
334,1043,1,35,-10.2298,-4.8,1,1
31,1043,1,39,-9.51097,0.32,1,1
2,1043,2,7,-8.22165,-9.82,1,1
332,1043,2,7,-8.22288,-9.8,1,1
2,1044,0,34,-2.76204,-9.82,1,1
336,1044,0,34,-2.84,-9.69501,1,1
354,1044,0,34,-2.84,-9.69501,1,1
355,1044,0,34,-2.77452,-9.8,1,1
34,1044,1,35,-9.22311,-4.79,1,1
334,1044,1,35,-9.22983,-4.8,1,1
28,1044,1,36,-8.36,-3.46076,1,1
29,1044,1,36,-8.36,-3.46076,1,1
28,1044,1,39,-8.36,0.0742054,1,1
29,1044,1,39,-8.36,0.0742054,1,1
30,1044,1,39,-8.51097,0.32,1,1
2,1044,2,7,-7.22165,-9.82,1,1
332,1044,2,7,-7.22288,-9.8,1,1
171,1045,0,33,-2.84,-8.13801,1,1
172,1045,0,33,-2.4663,-8.7,1,1
336,1045,0,33,-2.84,-8.13801,1,1
353,1045,0,33,-2.4663,-8.7,1,1
2,1045,0,34,-1.76204,-9.82,1,1
355,1045,0,34,-1.77452,-9.8,1,1
24,1045,1,35,-8.22311,-4.79,1,1
334,1045,1,35,-8.22983,-4.8,1,1
2,1045,2,7,-6.22165,-9.82,1,1
332,1045,2,7,-6.22288,-9.8,1,1
171,1046,0,9,-2.84,-7.38399,1,1
336,1046,0,9,-2.84,-7.38399,1,1
172,1046,0,33,-1.4663,-8.7,1,1
353,1046,0,33,-1.4663,-8.7,1,1
2,1046,0,34,-0.762042,-9.82,1,1
355,1046,0,34,-0.774516,-9.8,1,1
24,1046,1,35,-7.22311,-4.79,1,1
334,1046,1,35,-7.22983,-4.8,1,1
25,1046,1,37,-5.6,-1.81422,1,1
25,1046,1,38,-5.6,-1.61105,1,1
26,1046,1,39,-6.50854,0.316057,1,1
2,1046,2,7,-5.22165,-9.82,1,1
332,1046,2,7,-5.22288,-9.8,1,1
171,1047,0,8,-2.84,-8.04138,1,1
336,1047,0,8,-2.84,-8.04138,1,1
168,1047,0,33,-0.84,-8.13801,1,1
174,1047,0,33,-0.466305,-8.7,1,1
353,1047,0,33,-0.466304,-8.7,1,1
2,1047,0,34,0.237958,-9.82,1,1
355,1047,0,34,0.225484,-9.8,1,1
24,1047,1,35,-6.22311,-4.79,1,1
25,1047,1,35,-5.6,-3.8631,1,1
334,1047,1,35,-6.22983,-4.8,1,1
25,1047,1,36,-5.6,-3.86298,1,1
2,1047,2,7,-4.22165,-9.82,1,1
332,1047,2,7,-4.22288,-9.8,1,1
171,1048,0,7,-2.84,-8.6646,1,1
336,1048,0,7,-2.84,-8.6646,1,1
168,1048,0,9,-0.84,-7.38399,1,1
174,1048,0,33,0.533696,-8.7,1,1
353,1048,0,33,0.533696,-8.7,1,1
2,1048,0,34,1.23796,-9.82,1,1
355,1048,0,34,1.22548,-9.8,1,1
2,1048,2,7,-3.22165,-9.82,1,1
332,1048,2,7,-3.22288,-9.8,1,1
172,1049,0,7,-1.89345,-8.7,1,1
353,1049,0,7,-1.89346,-8.7,1,1
168,1049,0,8,-0.84,-8.04138,1,1
174,1049,0,33,1.5337,-8.7,1,1
353,1049,0,33,1.5337,-8.7,1,1
2,1049,0,34,2.23796,-9.82,1,1
355,1049,0,34,2.22548,-9.8,1,1
336,1049,1,6,-2.84,-9.28716,1,1
354,1049,1,6,-2.84,-9.28716,1,1
2,1049,2,7,-2.22165,-9.82,1,1
355,1049,2,7,-2.22288,-9.8,1,1
168,1050,0,7,-0.84,-8.6646,1,1
172,1050,0,7,-0.893454,-8.7,1,1
353,1050,0,7,-0.893455,-8.7,1,1
174,1050,0,33,2.5337,-8.7,1,1
353,1050,0,33,2.5337,-8.7,1,1
2,1050,0,34,3.23796,-9.82,1,1
355,1050,0,34,3.22548,-9.8,1,1
336,1050,1,8,-2.84,-8.81471,1,1
354,1050,1,8,-2.84,-8.81471,1,1
335,1050,1,35,-3.22983,-4.8,1,1
2,1050,2,7,-1.22165,-9.82,1,1
355,1050,2,7,-1.22288,-9.8,1,1
174,1051,0,7,0.106546,-8.7,1,1
353,1051,0,7,0.106545,-8.7,1,1
175,1051,0,33,3.44,-8.55909,1,1
347,1051,0,33,3.44,-8.5591,1,1
2,1051,0,34,4.23796,-9.82,1,1
351,1051,0,34,4.23796,-9.82,1,1
172,1051,1,8,-2.04716,-8.7,1,1
353,1051,1,8,-2.04716,-8.7,1,1
171,1051,1,9,-2.84,-8.27844,1,1
336,1051,1,9,-2.84,-8.27844,1,1
170,1051,1,34,-2.31835,-4.94,1,1
171,1051,1,34,-2.84,-5.9191,1,1
336,1051,1,34,-2.84,-5.9191,1,1
2,1051,2,7,-0.221649,-9.82,1,1
355,1051,2,7,-0.222878,-9.8,1,1
174,1052,0,7,1.10655,-8.7,1,1
353,1052,0,7,1.10654,-8.7,1,1
175,1052,0,10,3.44,-7.27456,1,1
347,1052,0,10,3.44,-7.27457,1,1
2,1052,0,34,5.23796,-9.82,1,1
351,1052,0,34,5.23796,-9.82,1,1
172,1052,1,8,-1.04716,-8.7,1,1
353,1052,1,8,-1.04716,-8.7,1,1
171,1052,1,13,-2.84,-7.74202,1,1
336,1052,1,13,-2.84,-7.74202,1,1
171,1052,1,18,-2.84,-7.82438,1,1
336,1052,1,18,-2.84,-7.82438,1,1
171,1052,1,21,-2.84,-7.72054,1,1
336,1052,1,21,-2.84,-7.72054,1,1
171,1052,1,25,-2.84,-7.69144,1,1
336,1052,1,25,-2.84,-7.69144,1,1
146,1052,1,36,0,-2.85741,1,1
146,1052,1,39,0,-0.511923,1,1
2,1052,2,7,0.778351,-9.82,1,1
355,1052,2,7,0.777122,-9.8,1,1
174,1053,0,7,2.10655,-8.7,1,1
353,1053,0,7,2.10655,-8.7,1,1
175,1053,0,9,3.44,-7.86908,1,1
347,1053,0,9,3.44,-7.86907,1,1
2,1053,0,34,6.23796,-9.82,1,1
351,1053,0,34,6.23796,-9.82,1,1
174,1053,1,8,-0.0471635,-8.7,1,1
353,1053,1,8,-0.0471627,-8.7,1,1
168,1053,1,9,-0.84,-8.27844,1,1
161,1053,1,34,-0.84,-5.9191,1,1
168,1053,1,34,-0.84,-5.9191,1,1
160,1053,1,35,-0.189499,-4.74,1,1
143,1053,1,36,0.867187,-3.08,1,1
144,1053,1,37,1.1,-2.62353,1,1
157,1053,1,37,1.08,-2.67748,1,1
134,1053,1,38,1.31812,-1.34,1,1
156,1053,1,38,1.31812,-1.34,1,1
138,1053,1,39,1.1,-0.674736,1,1
144,1053,1,39,1.1,-0.674736,1,1
2,1053,2,7,1.77835,-9.82,1,1
355,1053,2,7,1.77712,-9.8,1,1
174,1054,0,7,3.10654,-8.7,1,1
175,1054,0,7,3.44,-8.47915,1,1
347,1054,0,7,3.44,-8.47915,1,1
353,1054,0,7,3.10654,-8.7,1,1
2,1054,0,34,7.23796,-9.82,1,1
351,1054,0,34,7.23796,-9.82,1,1
174,1054,1,8,0.952837,-8.7,1,1
353,1054,1,8,0.952838,-8.7,1,1
168,1054,1,13,-0.84,-7.74202,1,1
168,1054,1,18,-0.84,-7.82438,1,1
168,1054,1,21,-0.84,-7.72054,1,1
168,1054,1,25,-0.84,-7.69144,1,1
162,1054,1,32,-0.399935,-7.04,1,1
173,1054,1,32,-0.399935,-7.04,1,1
153,1054,1,36,1.85525,-3.1,1,1
134,1054,1,38,2.31812,-1.34,1,1
156,1054,1,38,2.31812,-1.34,1,1
2,1054,2,7,2.77835,-9.82,1,1
355,1054,2,7,2.77712,-9.8,1,1
2,1055,0,34,8.23796,-9.82,1,1
351,1055,0,34,8.23796,-9.82,1,1
347,1055,1,5,3.44,-9.32143,1,1
352,1055,1,5,3.44,-9.32143,1,1
174,1055,1,8,1.95284,-8.7,1,1
353,1055,1,8,1.95284,-8.7,1,1
162,1055,1,32,0.600065,-7.04,1,1
173,1055,1,32,0.600065,-7.04,1,1
159,1055,1,35,1.8105,-4.74,1,1
153,1055,1,36,2.85525,-3.1,1,1
134,1055,1,38,3.31812,-1.34,1,1
156,1055,1,38,3.31812,-1.34,1,1
2,1055,2,7,3.77835,-9.82,1,1
351,1055,2,7,3.77835,-9.82,1,1
2,1056,0,34,9.23796,-9.82,1,1
351,1056,0,34,9.23796,-9.82,1,1
347,1056,1,7,3.44,-8.96275,1,1
352,1056,1,7,3.44,-8.96275,1,1
174,1056,1,8,2.95284,-8.7,1,1
353,1056,1,8,2.95284,-8.7,1,1
162,1056,1,32,1.60006,-7.04,1,1
173,1056,1,32,1.60007,-7.04,1,1
158,1056,1,33,1.94,-6.35649,1,1
166,1056,1,33,1.94,-6.35649,1,1
147,1056,1,36,3.86719,-3.08,1,1
139,1056,1,37,4.39786,-1.82,1,1
150,1056,1,37,4.39786,-1.82,1,1
135,1056,1,39,3.74,-0.0886074,1,1
142,1056,1,39,3.74,-0.0886073,1,1
2,1056,2,7,4.77835,-9.82,1,1
351,1056,2,7,4.77835,-9.82,1,1
2,1057,0,34,10.238,-9.82,1,1
351,1057,0,34,10.238,-9.82,1,1
175,1057,1,8,3.44,-8.41603,1,1
347,1057,1,8,3.44,-8.41603,1,1
167,1057,1,32,2.60006,-7.04,1,1
173,1057,1,32,2.60006,-7.04,1,1
163,1057,1,34,3.44,-5.39356,1,1
347,1057,1,34,3.44,-5.39356,1,1
348,1057,1,35,3.72983,-4.86,1,1
147,1057,1,36,4.86719,-3.08,1,1
2,1057,2,7,5.77835,-9.82,1,1
351,1057,2,7,5.77835,-9.82,1,1
2,1058,0,34,11.238,-9.82,1,1
351,1058,0,34,11.238,-9.82,1,1
175,1058,1,10,3.44,-7.89436,1,1
347,1058,1,10,3.44,-7.89436,1,1
175,1058,1,32,3.44,-7.27689,1,1
347,1058,1,32,3.44,-7.27689,1,1
348,1058,1,35,4.72983,-4.86,1,1
2,1058,2,7,6.77835,-9.82,1,1
351,1058,2,7,6.77835,-9.82,1,1
7,1059,0,34,12.22,-9.79121,1,1
350,1059,0,34,12.22,-9.79121,1,1
348,1059,1,35,5.72983,-4.86,1,1
185,1059,1,37,7.3682,-1.9,1,1
186,1059,1,37,7.08,-2.67748,1,1
2,1059,2,7,7.77835,-9.82,1,1
351,1059,2,7,7.77835,-9.82,1,1
7,1060,0,33,12.22,-8.22824,1,1
350,1060,0,33,12.22,-8.22825,1,1
186,1060,1,35,7.08,-4.33911,1,1
348,1060,1,35,6.72983,-4.86,1,1
176,1060,1,39,7.84,-0.251419,1,1
2,1060,2,7,8.77835,-9.82,1,1
351,1060,2,7,8.77835,-9.82,1,1
7,1061,0,9,12.22,-7.34356,1,1
350,1061,0,9,12.22,-7.34356,1,1
182,1061,1,35,7.72983,-4.86,1,1
348,1061,1,35,7.72983,-4.86,1,1
2,1061,2,7,9.77835,-9.82,1,1
351,1061,2,7,9.77835,-9.82,1,1
7,1062,0,8,12.22,-8.00529,1,1
350,1062,0,8,12.22,-8.00529,1,1
182,1062,1,35,8.72983,-4.86,1,1
348,1062,1,35,8.72983,-4.86,1,1
2,1062,2,7,10.7783,-9.82,1,1
351,1062,2,7,10.7783,-9.82,1,1
7,1063,0,7,12.22,-8.62486,1,1
350,1063,0,7,12.22,-8.62486,1,1
2,1063,2,7,11.7783,-9.82,1,1
351,1063,2,7,11.7783,-9.82,1,1
2,1115,0,35,-15.2618,-9.82,1,1
332,1115,0,35,-15.2716,-9.8,1,1
1,1115,1,5,-20.6055,-8.32405,1,1
330,1115,1,5,-20.5612,-8.3215,1,1
1,1115,1,34,-22.6405,-4.54472,1,1
330,1115,1,34,-22.6204,-4.50702,1,1
39,1115,1,37,-20.8365,-1.45234,1,1
331,1115,1,37,-20.8242,-1.419,1,1
