"","x1","z1","x2","z2","c1","c2"
"185",0,-3.02,0.86,-3.02,"ww","ww"
"186",0.86,-3.02,0.86,2.02,"ww","ww"
"187",0.86,2.02,0,2.02,"ww","ww"
"188",0,2.02,0,-3.02,"ww","ww"
"189",1.94,-7.04,1.94,-4.74,"ww","ww"
"190",1.94,-4.74,1.04,-4.74,"ww","wh"
"192",0.13,-4.74,-0.85,-4.74,"dw","ww"
"193",-0.85,-4.74,-0.85,-7.04,"ww","ww"
"194",-0.85,-7.04,1.94,-7.04,"ww","ww"
"195",2.94,-7.04,2.94,-4.82,"ww","ww"
"196",2.94,-4.82,2.81,-4.82,"ww","wh"
"198",2.17,-4.82,2.08,-4.82,"dw","ww"
"199",2.08,-4.82,2.08,-7.04,"ww","ww"
"200",2.08,-7.04,2.94,-7.04,"ww","ww"
"201",-1.1,-8.69,-1.1,-4.93,"ww","ww"
"202",-1.1,-4.93,-1.23,-4.93,"ww","wd"
"204",-2.14,-4.93,-2.28,-4.93,"hw","ww"
"205",-2.28,-4.93,-2.28,-8.7,"ww","ww"
"206",-2.28,-8.7,-1.1,-8.69,"ww","ww"
"207",7.84,-0.02,7.84,-1.84,"ww","wi"
"209",12.22,-1.84,12.22,4.58,"iw","ww"
"210",12.22,4.58,7.84,4.58,"ww","ww"
"211",7.84,4.58,7.84,4.04,"ww","wi"
"213",7.84,2.18,7.84,1.98,"iw","wi"
"215",7.84,1.38,7.84,-0.02,"iw","ww"
"216",7.08,-4.86,9.64,-4.86,"ww","wh"
"218",10.86,-4.86,12.22,-4.86,"dw","ww"
"219",12.22,-4.86,12.22,-1.9,"ww","wi"
"221",7.8,-1.9,7.08,-1.9,"iw","ww"
"222",7.08,-1.9,7.08,-4.86,"ww","ww"
"223",7.1,4.7,12.24,4.7,"ww","ww"
"224",12.24,4.7,12.24,7.26,"ww","ww"
"225",12.24,7.26,8.24,7.26,"ww","wd"
"227",7.2,7.26,7.1,7.26,"hw","ww"
"228",7.1,7.26,7.1,4.7,"ww","ww"
"229",12.28,7.38,12.28,9.88,"ww","ww"
"230",12.28,9.88,9.7,9.88,"ww","ww"
"231",9.7,9.88,9.7,8.32,"ww","wd"
"233",9.7,7.46,9.7,7.38,"hw","ww"
"234",9.7,7.38,12.28,7.38,"ww","ww"
"235",9.7,10.06,12.28,10.06,"ww","ww"
"236",12.28,10.06,12.28,12.46,"ww","ww"
"237",12.28,12.46,9.7,12.46,"ww","ww"
"238",9.7,12.46,9.7,12.36,"ww","wh"
"240",9.7,11.56,9.7,10.06,"dw","ww"
"241",7.1,12.6,12.3,12.62,"ww","ww"
"242",12.3,12.62,12.3,15.02,"ww","ww"
"243",12.3,15.02,7.1,15.02,"ww","ww"
"244",7.1,15.02,7.1,14.86,"ww","wh"
"246",7.1,13.88,7.1,12.6,"dw","ww"
"247",7.1,15.16,9.62,15.16,"ww","ww"
"248",9.62,15.16,9.62,17.74,"ww","ww"
"249",9.62,17.74,8.08,17.74,"ww","wd"
"251",7.22,17.74,7.1,17.74,"hw","ww"
"252",7.1,17.74,7.1,15.16,"ww","ww"
"253",9.8,15.16,12.3,15.16,"ww","ww"
"254",12.3,15.16,12.3,17.78,"ww","ww"
"255",12.3,17.78,12.24,17.78,"ww","wh"
"257",11.42,17.78,9.8,17.78,"dw","ww"
"258",9.8,17.78,9.8,15.16,"ww","ww"
"259",12.5,12.7,14.94,12.7,"ww","ww"
"260",14.94,12.7,14.94,16.5,"ww","ww"
"261",14.94,16.5,13.42,16.5,"ww","wd"
"263",12.56,16.5,12.5,16.5,"hw","ww"
"264",12.5,16.5,12.5,12.7,"ww","ww"
"265",15.14,12.7,17.6,12.7,"ww","ww"
"266",17.6,12.7,17.6,16.5,"ww","ww"
"267",17.6,16.5,17.5,16.5,"ww","wd"
"269",16.7,16.5,15.14,16.5,"hw","ww"
"270",15.14,16.5,15.14,12.7,"ww","ww"
"271",20.44,23.36,17.96,23.36,"ww","ww"
"272",17.96,23.36,17.96,19.5,"ww","ww"
"273",17.96,19.5,19.5,19.5,"ww","wd"
"275",20.3,19.5,20.44,19.5,"hw","ww"
"276",20.44,19.5,20.44,23.36,"ww","ww"
"277",17.92,12.7,20.42,12.7,"ww","ww"
"278",20.42,12.7,20.42,16.5,"ww","ww"
"279",20.42,16.5,18.9,16.5,"ww","wd"
"281",18.02,16.5,17.92,16.5,"hw","ww"
"282",17.92,16.5,17.92,12.7,"ww","ww"
"283",20.64,12.7,24.02,12.7,"ww","ww"
"284",24.02,12.7,24.02,16.5,"ww","ww"
"285",24.02,16.5,23.26,16.5,"ww","wh"
"287",22.28,16.5,20.64,16.5,"dw","ww"
"288",20.64,16.5,20.64,12.7,"ww","ww"
"289",20.6,23.36,20.6,19.5,"ww","wi"
"291",35.6,19.56,35.6,23.36,"iw","ww"
"292",35.6,23.36,20.6,23.36,"ww","ww"
"293",27.24,16.46,28.7,16.46,"ww","ww"
"294",28.7,16.46,28.7,16.88,"ww","wd"
"296",28.7,17.58,28.7,17.74,"hw","ww"
"297",28.7,17.74,27.24,17.74,"ww","ww"
"298",27.24,17.74,27.24,17.58,"ww","wh"
"300",27.24,16.92,27.24,16.46,"dw","ww"
"301",24.42,15.96,27.1,15.96,"ww","ww"
"302",27.1,15.96,27.1,16.9,"ww","wd"
"304",27.1,17.54,27.1,17.7,"hw","ww"
"305",27.1,17.7,24.42,17.7,"ww","ww"
"306",24.42,17.7,24.42,15.96,"ww","ww"
"307",27.28,14.82,27.3,15.66,"ww","ww"
"308",27.3,15.66,28.7,15.66,"ww","ww"
"309",28.7,15.66,28.7,15.66,"ww","wh"
"311",28.7,14.92,28.7,14.82,"dw","ww"
"312",28.7,14.82,27.28,14.82,"ww","ww"
"313",27.24,12.86,28.7,12.86,"ww","ww"
"314",28.7,12.86,28.7,12.98,"ww","wh"
"316",28.7,13.62,28.7,14.04,"dw","ww"
"317",28.7,14.04,27.24,14.04,"ww","ww"
"318",27.24,14.04,27.24,13.62,"ww","wd"
"320",27.24,13.02,27.24,12.86,"hw","ww"
"321",24.44,12.66,27.1,12.66,"ww","ww"
"322",27.1,12.66,27.1,12.96,"ww","wh"
"324",27.1,13.62,27.1,15.68,"dw","ww"
"325",27.1,15.68,24.44,15.68,"ww","ww"
"326",24.44,15.68,24.44,12.66,"ww","ww"
"327",23.26,10.08,23.26,12.44,"ww","ww"
"328",23.26,12.44,28.22,12.44,"ww","ww"
"329",28.22,12.44,28.22,10.08,"ww","ww"
"330",28.22,10.08,28.22,10.08,"ww","wh"
"332",27.34,10.08,23.26,10.08,"dw","ww"
"333",26.06,7.4,23.26,7.4,"ww","ww"
"334",23.26,7.4,23.26,9.9,"ww","ww"
"335",23.26,9.9,26.06,9.9,"ww","ww"
"336",26.06,9.9,26.06,9.9,"ww","wh"
"338",26.06,9,26.06,7.4,"dw","ww"
"339",23.26,4.72,23.26,7.28,"ww","ww"
"340",23.26,7.28,26.08,7.28,"ww","ww"
"341",26.08,7.28,26.06,5.7,"ww","wd"
"343",26.06,4.72,26.06,4.72,"hw","ww"
