"idx","x1","z1","x2","z2","c1","c2","A1","B1","C1","xmn","xmx","zmn","zmx"
239,24.02,16.5,23.26,16.5,"ww","wh",0,0.759999999999998,12.54,23.259,24.021,16.499,16.501
240,22.28,16.5,20.42,16.5,"dw","ww",0,1.86,30.69,20.419,22.281,16.499,16.501
241,20.42,16.5,20.42,12.7,"ww","ww",-3.8,0,-77.596,20.419,20.421,12.699,16.501
242,20.6,23.4,20.6,19.5,"ww","wi",-3.9,0,-80.34,20.599,20.601,19.499,23.401
243,35.52,19.56,35.52,23.4,"iw","ww",3.84,0,136.3968,35.519,35.521,19.559,23.401
244,35.52,23.4,20.6,23.4,"ww","ww",0,14.92,349.128,20.599,35.521,23.399,23.401
245,35.52,23.4,35.52,24.5,"ww","ww",1.1,0,39.0720000000001,35.519,35.521,23.399,24.501
246,35.52,24.5,-16.88,24.5,"ww","ww",0,52.4,1283.8,-16.881,35.521,24.499,24.501
247,-16.88,24.5,-16.88,23.4,"ww","ww",-1.1,0,18.568,-16.881,-16.879,23.399,24.501
248,-16.88,23.4,35.52,23.4,"ww","ww",0,-52.4,-1226.16,-16.881,35.521,23.399,23.401
