"","t","pos.x","pos.y","pos.z","fwd.x","fwd.y","fwd.z","up.x","up.y","up.z"
"1",1,27.58,0,-9.82,0,0,0,0,1,0
"2",2,-50.9,0,31.88,-50.9,0,31.88,0,1,0
