"lid","tid","aid","sid","idx","x1","z1","x2","z2","c1","c2","A1","B1","C1","xmn","xmx","zmn","zmx","det","xi","zi"
1453,1,0,34,34,-18.98,-4.79,-8.36,-4.79,"ww","ww",0,-10.62,50.8698,-18.981,-8.359,-4.791,-4.789,-11.261960954431,-13.780753056849,-4.79
1453,1,0,34,333,-19.2,-4.8,-11.56,-4.8,"iw","ww",0,-7.64,36.672,-19.201,-11.559,-4.801,-4.799,-8.10182501806523,-13.7745159547801,-4.8
1454,1,0,34,34,-18.98,-4.79,-8.36,-4.79,"ww","ww",0,-10.62,50.8698,-18.981,-8.359,-4.791,-4.789,-11.261960954431,-12.780753056849,-4.79
1454,1,0,34,333,-19.2,-4.8,-11.56,-4.8,"iw","ww",0,-7.64,36.672,-19.201,-11.559,-4.801,-4.799,-8.10182501806523,-12.7745159547801,-4.8
1455,1,0,34,34,-18.98,-4.79,-8.36,-4.79,"ww","ww",0,-10.62,50.8698,-18.981,-8.359,-4.791,-4.789,-11.261960954431,-11.780753056849,-4.79
1455,1,0,34,333,-19.2,-4.8,-11.56,-4.8,"iw","ww",0,-7.64,36.672,-19.201,-11.559,-4.801,-4.799,-8.10182501806523,-11.7745159547801,-4.8
1456,1,0,34,34,-18.98,-4.79,-8.36,-4.79,"ww","ww",0,-10.62,50.8698,-18.981,-8.359,-4.791,-4.789,-11.261960954431,-10.780753056849,-4.79
1456,1,0,34,334,-11.56,-4.8,-5.28,-4.8,"ww","wh",0,-6.28,30.144,-11.561,-5.279,-4.801,-4.799,-6.65961532898556,-10.7745159547801,-4.8
1457,1,0,34,34,-18.98,-4.79,-8.36,-4.79,"ww","ww",0,-10.62,50.8698,-18.981,-8.359,-4.791,-4.789,-11.261960954431,-9.78075305684901,-4.79
1457,1,0,34,334,-11.56,-4.8,-5.28,-4.8,"ww","wh",0,-6.28,30.144,-11.561,-5.279,-4.801,-4.799,-6.65961532898556,-9.77451595478014,-4.8
1458,1,0,34,34,-18.98,-4.79,-8.36,-4.79,"ww","ww",0,-10.62,50.8698,-18.981,-8.359,-4.791,-4.789,-11.261960954431,-8.78075305684901,-4.79
1458,1,0,34,334,-11.56,-4.8,-5.28,-4.8,"ww","wh",0,-6.28,30.144,-11.561,-5.279,-4.801,-4.799,-6.65961532898556,-8.77451595478013,-4.8
1459,1,0,34,24,-8.36,-4.79,-5.6,-4.79,"ww","ww",0,-2.76,13.2204,-8.361,-5.599,-4.791,-4.789,-2.92683731019111,-7.78075305684901,-4.79
1459,1,0,34,28,-8.36,0.32,-8.36,-4.79,"ww","ww",-5.11,0,42.7196,-8.361,-8.359,-4.791,0.321,3.37981751260604,-8.36,-3.86128833750884
1459,1,0,34,29,-8.36,-4.79,-8.36,0.32,"ww","ww",5.11,0,-42.7196,-8.361,-8.359,-4.791,0.321,-3.37981751260604,-8.36,-3.86128833750884
1459,1,0,34,334,-11.56,-4.8,-5.28,-4.8,"ww","wh",0,-6.28,30.144,-11.561,-5.279,-4.801,-4.799,-6.65961532898556,-7.77451595478014,-4.8
1460,1,0,23,28,-8.36,0.32,-8.36,-4.79,"ww","ww",-5.11,0,42.7196,-8.361,-8.359,-4.791,0.321,0.0706361096809461,-8.36,-2.14265247392478
1460,1,0,23,29,-8.36,-4.79,-8.36,0.32,"ww","ww",5.11,0,-42.7196,-8.361,-8.359,-4.791,0.321,-0.0706361096809461,-8.36,-2.14265247392478
1460,1,0,25,28,-8.36,0.32,-8.36,-4.79,"ww","ww",-5.11,0,42.7196,-8.361,-8.359,-4.791,0.321,-0.11897564966061,-8.36,-2.16822754000229
1460,1,0,25,29,-8.36,-4.79,-8.36,0.32,"ww","ww",5.11,0,-42.7196,-8.361,-8.359,-4.791,0.321,0.11897564966061,-8.36,-2.16822754000229
1460,1,0,30,28,-8.36,0.32,-8.36,-4.79,"ww","ww",-5.11,0,42.7196,-8.361,-8.359,-4.791,0.321,0.0748017423691436,-8.36,-2.1852894938205
