"idx","x","z"
1453,-18.448,-4.3
1454,-17.448,-4.3
1455,-16.448,-4.3
1456,-15.448,-4.3
1457,-14.448,-4.3
1458,-13.448,-4.3
1459,-12.448,-4.3
1460,-11.448,-4.3
1461,-10.448,-4.3
1462,-9.448,-4.3
1463,-8.448,-4.3
1536,-19.448,-3.3
1537,-18.448,-3.3
1538,-17.448,-3.3
1539,-16.448,-3.3
1540,-15.448,-3.3
1541,-14.448,-3.3
1542,-13.448,-3.3
1543,-12.448,-3.3
1544,-11.448,-3.3
1545,-10.448,-3.3
1546,-9.448,-3.3
1547,-8.448,-3.3
1620,-19.448,-2.3
1621,-18.448,-2.3
1622,-17.448,-2.3
1623,-16.448,-2.3
1624,-15.448,-2.3
1625,-14.448,-2.3
1626,-13.448,-2.3
1627,-12.448,-2.3
1628,-11.448,-2.3
1629,-10.448,-2.3
1630,-9.448,-2.3
1631,-8.448,-2.3
1703,-20.448,-1.3
1704,-19.448,-1.3
1705,-18.448,-1.3
1706,-17.448,-1.3
1707,-16.448,-1.3
1708,-15.448,-1.3
1709,-14.448,-1.3
1710,-13.448,-1.3
1711,-12.448,-1.3
1712,-11.448,-1.3
1713,-10.448,-1.3
1714,-9.448,-1.3
1715,-8.448,-1.3
1786,-21.448,-0.300000000000001
1787,-20.448,-0.300000000000001
1788,-19.448,-0.300000000000001
1789,-18.448,-0.300000000000001
1790,-17.448,-0.300000000000001
1791,-16.448,-0.300000000000001
1792,-15.448,-0.300000000000001
1793,-14.448,-0.300000000000001
1794,-13.448,-0.300000000000001
1795,-12.448,-0.300000000000001
1796,-11.448,-0.300000000000001
1797,-10.448,-0.300000000000001
1798,-9.448,-0.300000000000001
1799,-8.448,-0.300000000000001
1870,-21.448,0.699999999999999
1871,-20.448,0.699999999999999
1872,-19.448,0.699999999999999
1873,-18.448,0.699999999999999
1953,-22.448,1.7
1954,-21.448,1.7
1955,-20.448,1.7
1956,-19.448,1.7
1957,-18.448,1.7
2037,-22.448,2.7
2038,-21.448,2.7
2039,-20.448,2.7
2040,-19.448,2.7
2120,-23.448,3.7
2121,-22.448,3.7
2122,-21.448,3.7
2123,-20.448,3.7
2124,-19.448,3.7
2204,-23.448,4.7
2205,-22.448,4.7
2206,-21.448,4.7
2207,-20.448,4.7
2287,-24.448,5.7
2288,-23.448,5.7
2289,-22.448,5.7
2290,-21.448,5.7
