lid,aid,ninters
2037,0,2
2038,0,2
2120,0,4
2121,0,2
2122,0,8
2123,0,4
2205,0,1
2206,0,3
2207,0,3
2287,0,1
2288,0,2
2289,0,4
2290,0,1
2291,0,3
2373,0,2
2374,0,1
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
-4.31602e+08,-4.31602e+08,-4.31602e+08
