"lid","tid","aid","sid","idx","x1","z1","x2","z2","c1","c2","A1","B1","C1","xmn","xmx","zmn","zmx","det","xi","zi"
3548,1,0,10,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-0.83516273172853,-19.6727180636806,4.81781890377614
3548,1,0,36,32,-16.06,0.32,-20.56,-1.99,"ww","ww",-2.31,4.5,38.5386,-20.561,-16.059,-1.991,0.321,6.27206009769617,-16.577309318867,0.0544478829816308
3657,1,0,33,38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961,4.58075246874383,-19.2961063293572,3.92001192864281
3657,1,0,33,40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971,-4.59671864424294,-19.2983867438577,3.92344134901016
3657,1,0,34,37,-17.87,1.42,-19.22,3.96,"dw","ww",2.54,1.35,-43.4728,-19.221,-17.869,1.419,3.961,-0.248382363795063,-18.6990130828384,2.97977276326635
3657,1,0,35,37,-17.87,1.42,-19.22,3.96,"dw","ww",2.54,1.35,-43.4728,-19.221,-17.869,1.419,3.961,0.1191376688417,-18.0543590120928,1.76686806719683
3657,1,0,36,36,-17.02,-0.2,-17.38,0.53,"ww","wh",0.73,0.359999999999999,-12.4966,-17.381,-17.019,-0.201,0.531,-0.0515558271083624,-17.3538874584068,0.477049568436055
3657,1,0,37,32,-16.06,0.32,-20.56,-1.99,"ww","ww",-2.31,4.5,38.5386,-20.561,-16.059,-1.991,0.321,5.66488238566088,-16.8915047727146,-0.106839116660145
3658,1,0,9,41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811,-3.29297184361114,-19.9863259985995,5.39242957162749
3658,1,0,37,32,-16.06,0.32,-20.56,-1.99,"ww","ww",-2.31,4.5,38.5386,-20.561,-16.059,-1.991,0.321,5.66488238566088,-16.1473203787972,0.275175538884083
