lid,aid,ninters
1032,0,2
1032,1,2
1033,0,3
1033,1,3
1034,0,3
1034,1,3
1035,0,3
1035,1,3
1036,0,3
1036,1,7
1037,0,3
1037,1,7
1038,0,3
1038,1,7
1039,0,3
1039,1,5
1040,0,3
1040,1,5
1041,0,3
1041,1,5
1042,0,3
1042,1,5
1043,0,3
1043,1,5
1044,0,5
1044,1,5
1045,0,7
1045,1,5
1046,0,7
1046,1,5
1047,0,8
1047,1,5
1048,0,8
1048,1,5
1049,0,8
1049,1,7
1050,0,8
1050,1,5
1051,0,7
1051,1,5
1052,0,7
1052,1,5
1053,0,7
1053,1,7
1054,0,7
1054,1,9
1055,0,3
1055,1,11
1056,0,3
1056,1,10
1057,0,3
1057,1,13
1058,0,3
1058,1,11
1059,0,3
1059,1,15
1060,0,3
1060,1,11
1061,0,3
1061,1,9
1062,0,3
1062,1,9
1063,0,3
1063,1,7
1115,0,3
1115,1,3
1116,0,3
1116,1,3
1117,0,3
1117,1,3
1118,0,3
1118,1,3
1119,0,3
1119,1,3
1120,0,3
1120,1,7
1121,0,3
1121,1,7
1122,0,3
1122,1,5
1123,0,3
1123,1,9
1124,0,3
1124,1,9
1125,0,3
1125,1,9
1126,0,3
1126,1,7
1127,0,3
1127,1,7
1128,0,7
1128,1,7
1129,0,7
1129,1,7
1130,0,8
1130,1,7
1131,0,8
1131,1,7
1132,0,11
1132,1,7
1133,0,10
1133,1,11
1134,0,14
1134,1,13
1135,0,11
1135,1,11
1136,0,7
1136,1,11
1137,0,7
1137,1,12
1138,0,5
1138,1,13
1139,0,3
1139,1,15
1140,0,3
1140,1,13
1141,0,3
1141,1,10
1142,0,3
1142,1,10
1143,0,3
1143,1,14
1144,0,3
1144,1,8
1145,0,3
1145,1,8
1146,0,3
1146,1,6
1147,0,3
1147,1,6
1199,0,3
1199,1,3
1200,0,3
1200,1,3
1201,0,3
1201,1,3
1202,0,3
1202,1,3
1203,0,3
1203,1,3
1204,0,3
1204,1,3
1205,0,3
1205,1,3
1206,0,3
1206,1,2
1207,0,3
1207,1,5
1208,0,3
1208,1,5
1209,0,3
1209,1,3
1210,0,3
1210,1,3
1211,0,5
1211,1,3
1212,0,7
1212,1,3
1213,0,7
1213,1,3
1214,0,8
1214,1,3
1215,0,11
1215,1,3
1216,0,11
1216,1,3
1217,0,9
1217,1,7
1218,0,11
1218,1,7
1219,0,9
1219,1,10
1220,0,9
1220,1,9
1221,0,9
1221,1,9
1222,0,7
1222,1,9
1223,0,3
1223,1,8
1224,0,3
1224,1,12
1225,0,3
1225,1,8
1226,0,3
1226,1,9
1227,0,3
1227,1,8
1228,0,3
1228,1,4
1229,0,3
1229,1,2
1230,0,3
1230,1,2
1231,0,3
1231,1,2
1282,0,7
1282,1,3
1283,0,7
1283,1,3
1284,0,7
1284,1,3
1285,0,7
1285,1,3
1286,0,7
1286,1,9
1287,0,7
1287,1,3
1288,0,7
1288,1,3
1289,0,7
1290,0,7
1290,1,5
1291,0,7
1291,1,5
1292,0,13
1292,1,5
1293,0,9
1293,1,3
1294,0,7
1294,1,3
1295,0,10
1295,1,3
1296,0,9
1296,1,3
1297,0,9
1297,1,3
1298,0,10
1298,1,3
1299,0,13
1299,1,3
1300,0,10
1300,1,3
1301,0,14
1301,1,7
1302,0,12
1302,1,7
1303,0,7
1303,1,9
1304,0,6
1304,1,9
1305,0,9
1305,1,8
1306,0,7
1306,1,8
1307,0,5
1307,1,9
1308,0,7
1308,1,6
1309,0,7
1309,1,5
1310,0,5
1310,1,10
1311,0,7
1311,1,7
1312,0,5
1312,1,8
1313,0,5
1313,1,5
1314,0,3
1314,1,3
1315,0,3
