lid,aid,ninters
2037,0,2
2037,1,3
2037,2,8
2037,3,9
2037,4,7
2037,5,7
2038,0,3
2038,1,2
2038,2,8
2038,3,5
2038,4,7
2038,5,9
2120,0,5
2120,1,5
2120,2,6
2120,3,5
2120,4,5
2120,5,7
2121,0,3
2121,1,6
2121,2,6
2121,3,5
2121,4,7
2121,5,5
2122,0,9
2122,1,7
2122,2,8
2122,3,5
2122,4,7
2122,5,7
2123,0,5
2123,1,2
2123,2,7
2123,3,7
2123,4,7
2123,5,8
2204,1,5
2204,2,6
2204,3,5
2204,4,5
2204,5,5
2205,0,2
2205,1,5
2205,2,6
2205,3,5
2205,4,9
2205,5,5
2206,0,4
2206,1,7
2206,2,8
2206,3,5
2206,4,7
2206,5,5
2207,0,4
2207,1,3
2207,2,7
2207,3,3
2207,4,7
2207,5,7
2287,0,2
2287,1,5
2287,2,6
2287,3,5
2287,4,5
2287,5,7
2288,0,3
2288,1,5
2288,2,8
2288,3,5
2288,4,7
2288,5,5
2289,0,5
2289,1,5
2289,2,8
2289,3,5
2289,4,7
2289,5,5
2290,0,2
2290,1,5
2290,2,6
2290,3,3
2290,4,9
2290,5,5
2291,0,4
2291,1,3
2291,2,8
2291,3,12
2291,4,7
2291,5,7
2373,0,3
2373,1,5
2373,2,4
2373,3,5
2373,4,5
2373,5,7
2374,0,2
2374,1,7
2374,2,6
2374,3,5
2374,4,5
2374,5,6
