bid,lid,aid,sid,x,z,hit1,hit2
2,1032,0,34,-14.762,-9.82,1,1
332,1032,0,34,-14.7745,-9.8,1,1
330,1032,1,15,-21.6657,-6.27548,1,1
330,1032,1,20,-21.608,-6.38245,1,1
33,1032,1,34,-19.0399,-4.68384,1,1
331,1032,1,34,-19.0569,-4.69446,1,1
1,1032,2,7,-19.8215,-9.78009,1,1
2,1032,3,7,-18.8709,-9.82,1,1
332,1032,3,7,-18.8841,-9.8,1,1
2,1033,0,34,-13.762,-9.82,1,1
332,1033,0,34,-13.7745,-9.8,1,1
34,1033,1,34,-18.2101,-4.79,1,1
333,1033,1,34,-18.2261,-4.8,1,1
2,1033,2,7,-18.8818,-9.82,1,1
332,1033,2,7,-18.8516,-9.8,1,1
2,1033,3,7,-17.8709,-9.82,1,1
332,1033,3,7,-17.8841,-9.8,1,1
2,1034,0,34,-12.762,-9.82,1,1
332,1034,0,34,-12.7745,-9.8,1,1
34,1034,1,34,-17.2101,-4.79,1,1
333,1034,1,34,-17.2262,-4.8,1,1
2,1034,2,7,-17.8818,-9.82,1,1
332,1034,2,7,-17.8516,-9.8,1,1
2,1034,3,7,-16.8709,-9.82,1,1
332,1034,3,7,-16.8841,-9.8,1,1
2,1035,0,34,-11.762,-9.82,1,1
332,1035,0,34,-11.7745,-9.8,1,1
34,1035,1,34,-16.2101,-4.79,1,1
333,1035,1,34,-16.2261,-4.8,1,1
2,1035,2,7,-16.8818,-9.82,1,1
332,1035,2,7,-16.8516,-9.8,1,1
2,1035,3,7,-15.8709,-9.82,1,1
332,1035,3,7,-15.8841,-9.8,1,1
2,1036,0,34,-10.762,-9.82,1,1
332,1036,0,34,-10.7745,-9.8,1,1
34,1036,1,34,-15.2101,-4.79,1,1
333,1036,1,34,-15.2261,-4.8,1,1
2,1036,2,7,-15.8818,-9.82,1,1
332,1036,2,7,-15.8516,-9.8,1,1
2,1036,2,33,-19.4829,-9.82,1,1
332,1036,2,33,-19.4962,-9.8,1,1
1,1036,2,37,-22.0572,-5.62802,1,1
330,1036,2,37,-21.937,-5.77308,1,1
2,1036,3,7,-14.8709,-9.82,1,1
332,1036,3,7,-14.8841,-9.8,1,1
2,1037,0,34,-9.76204,-9.82,1,1
332,1037,0,34,-9.77452,-9.8,1,1
34,1037,1,34,-14.2101,-4.79,1,1
333,1037,1,34,-14.2261,-4.8,1,1
2,1037,2,7,-14.8818,-9.82,1,1
332,1037,2,7,-14.8516,-9.8,1,1
2,1037,2,33,-18.4829,-9.82,1,1
332,1037,2,33,-18.4962,-9.8,1,1
1,1037,2,39,-22.1907,-5.38009,1,1
330,1037,2,39,-22.1497,-5.37898,1,1
2,1037,3,7,-13.8709,-9.82,1,1
332,1037,3,7,-13.8841,-9.8,1,1
2,1038,0,34,-8.76204,-9.82,1,1
332,1038,0,34,-8.77452,-9.8,1,1
34,1038,1,34,-13.2101,-4.79,1,1
333,1038,1,34,-13.2261,-4.8,1,1
2,1038,2,7,-13.8818,-9.82,1,1
332,1038,2,7,-13.8516,-9.8,1,1
2,1038,2,33,-17.4829,-9.82,1,1
332,1038,2,33,-17.4962,-9.8,1,1
1,1038,2,39,-22.1763,-5.4069,1,1
330,1038,2,39,-22.1352,-5.40578,1,1
2,1038,3,7,-12.8709,-9.82,1,1
332,1038,3,7,-12.8841,-9.8,1,1
2,1039,0,34,-7.76204,-9.82,1,1
332,1039,0,34,-7.77452,-9.8,1,1
34,1039,1,34,-12.2101,-4.79,1,1
333,1039,1,34,-12.2261,-4.8,1,1
2,1039,2,7,-12.8818,-9.82,1,1
332,1039,2,7,-12.8516,-9.8,1,1
2,1039,2,33,-16.4829,-9.82,1,1
332,1039,2,33,-16.4962,-9.8,1,1
2,1039,3,7,-11.8709,-9.82,1,1
332,1039,3,7,-11.8841,-9.8,1,1
2,1040,0,34,-6.76204,-9.82,1,1
332,1040,0,34,-6.77452,-9.8,1,1
34,1040,1,34,-11.2101,-4.79,1,1
334,1040,1,34,-11.2261,-4.8,1,1
28,1040,1,37,-8.36,-3.17494,1,1
29,1040,1,37,-8.36,-3.17494,1,1
2,1040,2,7,-11.8818,-9.82,1,1
332,1040,2,7,-11.8516,-9.8,1,1
2,1040,2,33,-15.4829,-9.82,1,1
332,1040,2,33,-15.4962,-9.8,1,1
2,1040,3,7,-10.8709,-9.82,1,1
332,1040,3,7,-10.8841,-9.8,1,1
2,1041,0,34,-5.76204,-9.82,1,1
332,1041,0,34,-5.77452,-9.8,1,1
34,1041,1,34,-10.2101,-4.79,1,1
334,1041,1,34,-10.2261,-4.8,1,1
28,1041,1,36,-8.36,-3.81041,1,1
29,1041,1,36,-8.36,-3.81041,1,1
2,1041,2,7,-10.8818,-9.82,1,1
332,1041,2,7,-10.8516,-9.8,1,1
2,1041,2,33,-14.4829,-9.82,1,1
332,1041,2,33,-14.4962,-9.8,1,1
2,1041,3,7,-9.87088,-9.82,1,1
332,1041,3,7,-9.88413,-9.8,1,1
2,1042,0,34,-4.76204,-9.82,1,1
332,1042,0,34,-4.77452,-9.8,1,1
34,1042,1,34,-9.21012,-4.79,1,1
334,1042,1,34,-9.22615,-4.8,1,1
28,1042,1,35,-8.36,-4.32535,1,1
29,1042,1,35,-8.36,-4.32535,1,1
25,1042,1,38,-5.6,-1.9885,1,1
2,1042,2,7,-9.88175,-9.82,1,1
332,1042,2,7,-9.85155,-9.8,1,1
2,1042,2,33,-13.4829,-9.82,1,1
332,1042,2,33,-13.4962,-9.8,1,1
2,1042,3,7,-8.87088,-9.82,1,1
332,1042,3,7,-8.88412,-9.8,1,1
2,1043,0,34,-3.76204,-9.82,1,1
332,1043,0,34,-3.77452,-9.8,1,1
24,1043,1,34,-8.21011,-4.79,1,1
334,1043,1,34,-8.22615,-4.8,1,1
25,1043,1,37,-5.6,-3.37391,1,1
2,1043,2,7,-8.88175,-9.82,1,1
332,1043,2,7,-8.85155,-9.8,1,1
2,1043,2,33,-12.4829,-9.82,1,1
332,1043,2,33,-12.4962,-9.8,1,1
2,1043,3,7,-7.87088,-9.82,1,1
332,1043,3,7,-7.88413,-9.8,1,1
2,1044,0,34,-2.76204,-9.82,1,1
336,1044,0,34,-2.84,-9.69501,1,1
354,1044,0,34,-2.84,-9.69501,1,1
355,1044,0,34,-2.77452,-9.8,1,1
24,1044,1,34,-7.21011,-4.79,1,1
334,1044,1,34,-7.22615,-4.8,1,1
25,1044,1,36,-5.6,-3.94441,1,1
2,1044,2,7,-7.88175,-9.82,1,1
332,1044,2,7,-7.85156,-9.8,1,1
2,1044,2,33,-11.4829,-9.82,1,1
332,1044,2,33,-11.4962,-9.8,1,1
2,1044,3,7,-6.87088,-9.82,1,1
332,1044,3,7,-6.88412,-9.8,1,1
171,1045,0,33,-2.84,-8.13801,1,1
172,1045,0,33,-2.4663,-8.7,1,1
336,1045,0,33,-2.84,-8.13801,1,1
353,1045,0,33,-2.4663,-8.7,1,1
2,1045,0,34,-1.76204,-9.82,1,1
355,1045,0,34,-1.77452,-9.8,1,1
24,1045,1,34,-6.21011,-4.79,1,1
334,1045,1,34,-6.22615,-4.8,1,1
25,1045,1,35,-5.6,-4.44287,1,1
2,1045,2,7,-6.88175,-9.82,1,1
332,1045,2,7,-6.85156,-9.8,1,1
2,1045,2,33,-10.4829,-9.82,1,1
332,1045,2,33,-10.4962,-9.8,1,1
2,1045,3,7,-5.87088,-9.82,1,1
332,1045,3,7,-5.88412,-9.8,1,1
171,1046,0,9,-2.84,-7.38399,1,1
336,1046,0,9,-2.84,-7.38399,1,1
172,1046,0,33,-1.4663,-8.7,1,1
353,1046,0,33,-1.4663,-8.7,1,1
2,1046,0,34,-0.762042,-9.82,1,1
355,1046,0,34,-0.774516,-9.8,1,1
2,1046,2,7,-5.88175,-9.82,1,1
332,1046,2,7,-5.85156,-9.8,1,1
2,1046,2,33,-9.48289,-9.82,1,1
332,1046,2,33,-9.49619,-9.8,1,1
2,1046,3,7,-4.87088,-9.82,1,1
332,1046,3,7,-4.88412,-9.8,1,1
171,1047,0,8,-2.84,-8.04138,1,1
336,1047,0,8,-2.84,-8.04138,1,1
168,1047,0,33,-0.84,-8.13801,1,1
174,1047,0,33,-0.466305,-8.7,1,1
353,1047,0,33,-0.466304,-8.7,1,1
2,1047,0,34,0.237958,-9.82,1,1
355,1047,0,34,0.225484,-9.8,1,1
2,1047,2,7,-4.88175,-9.82,1,1
332,1047,2,7,-4.85156,-9.8,1,1
2,1047,2,33,-8.48289,-9.82,1,1
332,1047,2,33,-8.49619,-9.8,1,1
2,1047,3,7,-3.87088,-9.82,1,1
332,1047,3,7,-3.88412,-9.8,1,1
171,1048,0,7,-2.84,-8.6646,1,1
336,1048,0,7,-2.84,-8.6646,1,1
168,1048,0,9,-0.84,-7.38399,1,1
174,1048,0,33,0.533696,-8.7,1,1
353,1048,0,33,0.533696,-8.7,1,1
2,1048,0,34,1.23796,-9.82,1,1
355,1048,0,34,1.22548,-9.8,1,1
335,1048,1,34,-3.22615,-4.8,1,1
146,1048,1,37,-0,-2.87647,1,1
2,1048,2,7,-3.88175,-9.82,1,1
332,1048,2,7,-3.85155,-9.8,1,1
2,1048,2,33,-7.48289,-9.82,1,1
332,1048,2,33,-7.49619,-9.8,1,1
2,1048,3,7,-2.87088,-9.82,1,1
332,1048,3,7,-2.88412,-9.8,1,1
172,1049,0,7,-1.89345,-8.7,1,1
353,1049,0,7,-1.89346,-8.7,1,1
168,1049,0,8,-0.84,-8.04138,1,1
174,1049,0,33,1.5337,-8.7,1,1
353,1049,0,33,1.5337,-8.7,1,1
2,1049,0,34,2.23796,-9.82,1,1
355,1049,0,34,2.22548,-9.8,1,1
336,1049,1,6,-2.84,-9.041,1,1
354,1049,1,6,-2.84,-9.041,1,1
170,1049,1,34,-2.45061,-4.94,1,1
171,1049,1,34,-2.84,-5.18287,1,1
336,1049,1,34,-2.84,-5.18287,1,1
143,1049,1,37,0.754511,-3.08,1,1
144,1049,1,37,1.1,-2.79357,1,1
157,1049,1,37,1.08,-2.81015,1,1
134,1049,1,39,1.466,-1.34,1,1
156,1049,1,39,1.466,-1.34,1,1
2,1049,2,7,-2.88175,-9.82,1,1
332,1049,2,7,-2.85156,-9.8,1,1
336,1049,2,7,-2.84,-9.79235,1,1
354,1049,2,7,-2.84,-9.79235,1,1
2,1049,2,33,-6.48289,-9.82,1,1
332,1049,2,33,-6.49619,-9.8,1,1
2,1049,3,7,-1.87088,-9.82,1,1
355,1049,3,7,-1.88412,-9.8,1,1
168,1050,0,7,-0.84,-8.6646,1,1
172,1050,0,7,-0.893454,-8.7,1,1
353,1050,0,7,-0.893455,-8.7,1,1
174,1050,0,33,2.5337,-8.7,1,1
353,1050,0,33,2.5337,-8.7,1,1
2,1050,0,34,3.23796,-9.82,1,1
355,1050,0,34,3.22548,-9.8,1,1
172,1050,1,7,-2.0781,-8.7,1,1
353,1050,1,7,-2.0781,-8.7,1,1
171,1050,1,8,-2.84,-7.47025,1,1
336,1050,1,8,-2.84,-7.47025,1,1
171,1050,1,33,-2.84,-5.84495,1,1
336,1050,1,33,-2.84,-5.84495,1,1
153,1050,1,37,1.73039,-3.1,1,1
134,1050,1,39,2.466,-1.34,1,1
156,1050,1,39,2.466,-1.34,1,1
2,1050,2,7,-1.88175,-9.82,1,1
355,1050,2,7,-1.85156,-9.8,1,1
2,1050,2,33,-5.48289,-9.82,1,1
332,1050,2,33,-5.49619,-9.8,1,1
2,1050,3,7,-0.870879,-9.82,1,1
355,1050,3,7,-0.884126,-9.8,1,1
174,1051,0,7,0.106546,-8.7,1,1
353,1051,0,7,0.106545,-8.7,1,1
175,1051,0,33,3.44,-8.55909,1,1
347,1051,0,33,3.44,-8.5591,1,1
2,1051,0,34,4.23796,-9.82,1,1
351,1051,0,34,4.23796,-9.82,1,1
172,1051,1,7,-1.0781,-8.7,1,1
353,1051,1,7,-1.0781,-8.7,1,1
160,1051,1,34,-0.129949,-4.74,1,1
161,1051,1,34,-0.84,-5.18287,1,1
168,1051,1,34,-0.84,-5.18287,1,1
153,1051,1,37,2.73039,-3.1,1,1
134,1051,1,39,3.466,-1.34,1,1
156,1051,1,39,3.466,-1.34,1,1
2,1051,2,7,-0.881753,-9.82,1,1
355,1051,2,7,-0.851555,-9.8,1,1
2,1051,2,33,-4.48289,-9.82,1,1
332,1051,2,33,-4.49619,-9.8,1,1
2,1051,3,7,0.129121,-9.82,1,1
355,1051,3,7,0.115875,-9.8,1,1
174,1052,0,7,1.10655,-8.7,1,1
353,1052,0,7,1.10654,-8.7,1,1
175,1052,0,10,3.44,-7.27456,1,1
347,1052,0,10,3.44,-7.27457,1,1
2,1052,0,34,5.23796,-9.82,1,1
351,1052,0,34,5.23796,-9.82,1,1
174,1052,1,7,-0.0781052,-8.7,1,1
353,1052,1,7,-0.0781049,-8.7,1,1
168,1052,1,8,-0.84,-7.47025,1,1
161,1052,1,33,-0.84,-5.84495,1,1
168,1052,1,33,-0.84,-5.84495,1,1
147,1052,1,37,3.75451,-3.08,1,1
153,1052,1,37,3.73039,-3.1,1,1
154,1052,1,37,3.74,-3.09203,1,1
139,1052,1,38,4.43949,-1.82,1,1
150,1052,1,38,4.43949,-1.82,1,1
2,1052,2,7,0.118246,-9.82,1,1
355,1052,2,7,0.148445,-9.8,1,1
2,1052,2,33,-3.48289,-9.82,1,1
332,1052,2,33,-3.49619,-9.8,1,1
2,1052,3,7,1.12912,-9.82,1,1
355,1052,3,7,1.11588,-9.8,1,1
174,1053,0,7,2.10655,-8.7,1,1
353,1053,0,7,2.10655,-8.7,1,1
175,1053,0,9,3.44,-7.86908,1,1
347,1053,0,9,3.44,-7.86907,1,1
2,1053,0,34,6.23796,-9.82,1,1
351,1053,0,34,6.23796,-9.82,1,1
174,1053,1,7,0.921895,-8.7,1,1
353,1053,1,7,0.921895,-8.7,1,1
162,1053,1,9,-0.129555,-7.04,1,1
173,1053,1,9,-0.129555,-7.04,1,1
159,1053,1,34,1.87005,-4.74,1,1
147,1053,1,37,4.75451,-3.08,1,1
2,1053,2,7,1.11825,-9.82,1,1
355,1053,2,7,1.14845,-9.8,1,1
2,1053,2,33,-2.48289,-9.82,1,1
355,1053,2,33,-2.49619,-9.8,1,1
336,1053,2,34,-2.84,-9.25131,1,1
354,1053,2,34,-2.84,-9.25131,1,1
2,1053,3,7,2.12912,-9.82,1,1
355,1053,3,7,2.11588,-9.8,1,1
174,1054,0,7,3.10654,-8.7,1,1
175,1054,0,7,3.44,-8.47915,1,1
347,1054,0,7,3.44,-8.47915,1,1
353,1054,0,7,3.10654,-8.7,1,1
2,1054,0,34,7.23796,-9.82,1,1
351,1054,0,34,7.23796,-9.82,1,1
174,1054,1,7,1.9219,-8.7,1,1
353,1054,1,7,1.9219,-8.7,1,1
162,1054,1,9,0.870445,-7.04,1,1
173,1054,1,9,0.870445,-7.04,1,1
158,1054,1,33,1.94,-5.32628,1,1
166,1054,1,33,1.94,-5.32628,1,1
2,1054,2,7,2.11825,-9.82,1,1
355,1054,2,7,2.14845,-9.8,1,1
2,1054,2,33,-1.48289,-9.82,1,1
355,1054,2,33,-1.49619,-9.8,1,1
172,1054,2,35,-2.18369,-8.7,1,1
353,1054,2,35,-2.18369,-8.7,1,1
171,1054,2,36,-2.84,-7.38679,1,1
336,1054,2,36,-2.84,-7.38679,1,1
2,1054,3,7,3.12912,-9.82,1,1
355,1054,3,7,3.11587,-9.8,1,1
2,1055,0,34,8.23796,-9.82,1,1
351,1055,0,34,8.23796,-9.82,1,1
347,1055,1,5,3.44,-9.2604,1,1
352,1055,1,5,3.44,-9.2604,1,1
174,1055,1,7,2.9219,-8.7,1,1
353,1055,1,7,2.9219,-8.7,1,1
162,1055,1,9,1.87044,-7.04,1,1
173,1055,1,9,1.87044,-7.04,1,1
158,1055,1,32,1.94,-5.95713,1,1
166,1055,1,32,1.94,-5.95713,1,1
163,1055,1,34,3.44,-5.00823,1,1
347,1055,1,34,3.44,-5.00823,1,1
348,1055,1,34,3.67765,-4.86,1,1
186,1055,1,37,7.08,-2.81015,1,1
185,1055,1,38,7.42074,-1.9,1,1
347,1055,2,6,3.44,-9.52499,1,1
352,1055,2,6,3.44,-9.52499,1,1
2,1055,2,7,3.11825,-9.82,1,1
355,1055,2,7,3.14845,-9.8,1,1
