"idx","x","z"
4032,-19.448,-9.55
4033,-18.948,-9.8
4034,-18.448,-9.55
4035,-17.948,-9.8
4036,-17.448,-9.55
4037,-16.948,-9.8
4038,-16.448,-9.55
4039,-15.948,-9.8
4040,-15.448,-9.55
4041,-14.948,-9.8
4042,-14.448,-9.55
4043,-13.948,-9.8
4044,-13.448,-9.55
4045,-12.948,-9.8
4046,-12.448,-9.55
4047,-11.948,-9.8
4048,-11.448,-9.55
4049,-10.948,-9.8
4050,-10.448,-9.55
4051,-9.948,-9.8
4052,-9.448,-9.55
4053,-8.948,-9.8
4054,-8.448,-9.55
4055,-7.948,-9.8
4056,-7.448,-9.55
4057,-6.948,-9.8
4058,-6.448,-9.55
4059,-5.948,-9.8
4060,-5.448,-9.55
4061,-4.948,-9.8
4062,-4.448,-9.55
4063,-3.948,-9.8
4064,-3.448,-9.55
4065,-2.948,-9.8
4066,-2.448,-9.55
4067,-1.948,-9.8
4068,-1.448,-9.55
4069,-0.948,-9.8
4070,-0.448,-9.55
4071,0.0519999999999996,-9.8
4072,0.552,-9.55
4073,1.052,-9.8
4074,1.552,-9.55
4075,2.052,-9.8
4076,2.552,-9.55
4077,3.052,-9.8
4078,3.552,-9.55
4079,4.052,-9.8
4080,4.552,-9.55
4081,5.052,-9.8
4082,5.552,-9.55
4083,6.052,-9.8
4084,6.552,-9.55
4085,7.052,-9.8
4086,7.552,-9.55
4087,8.052,-9.8
4088,8.552,-9.55
4089,9.052,-9.8
4090,9.552,-9.55
4091,10.052,-9.8
4092,10.552,-9.55
4093,11.052,-9.8
4094,11.552,-9.55
4095,12.052,-9.8
4197,-19.948,-9.3
4198,-19.448,-9.05
4199,-18.948,-9.3
4200,-18.448,-9.05
4201,-17.948,-9.3
4202,-17.448,-9.05
4203,-16.948,-9.3
4204,-16.448,-9.05
4205,-15.948,-9.3
4206,-15.448,-9.05
4207,-14.948,-9.3
4208,-14.448,-9.05
4209,-13.948,-9.3
4210,-13.448,-9.05
4211,-12.948,-9.3
4212,-12.448,-9.05
4213,-11.948,-9.3
4214,-11.448,-9.05
4215,-10.948,-9.3
4216,-10.448,-9.05
4217,-9.948,-9.3
4218,-9.448,-9.05
4219,-8.948,-9.3
4220,-8.448,-9.05
4221,-7.948,-9.3
4222,-7.448,-9.05
4223,-6.948,-9.3
4224,-6.448,-9.05
4225,-5.948,-9.3
4226,-5.448,-9.05
4227,-4.948,-9.3
4228,-4.448,-9.05
4229,-3.948,-9.3
4230,-3.448,-9.05
4231,-2.948,-9.3
4232,-2.448,-9.05
4233,-1.948,-9.3
4234,-1.448,-9.05
4235,-0.948,-9.3
4236,-0.448,-9.05
4237,0.0519999999999996,-9.3
4238,0.552,-9.05
4239,1.052,-9.3
4240,1.552,-9.05
4241,2.052,-9.3
4242,2.552,-9.05
4243,3.052,-9.3
4244,3.552,-9.05
4245,4.052,-9.3
4246,4.552,-9.05
4247,5.052,-9.3
4248,5.552,-9.05
4249,6.052,-9.3
4250,6.552,-9.05
4251,7.052,-9.3
4252,7.552,-9.05
4253,8.052,-9.3
4254,8.552,-9.05
4255,9.052,-9.3
4256,9.552,-9.05
4257,10.052,-9.3
4258,10.552,-9.05
4259,11.052,-9.3
4260,11.552,-9.05
4261,12.052,-9.3
4362,-20.448,-8.55
4363,-19.948,-8.8
4364,-19.448,-8.55
4365,-18.948,-8.8
4366,-18.448,-8.55
4367,-17.948,-8.8
4368,-17.448,-8.55
4369,-16.948,-8.8
4370,-16.448,-8.55
4371,-15.948,-8.8
4372,-15.448,-8.55
4373,-14.948,-8.8
4374,-14.448,-8.55
4375,-13.948,-8.8
4376,-13.448,-8.55
4377,-12.948,-8.8
4378,-12.448,-8.55
4379,-11.948,-8.8
4380,-11.448,-8.55
4381,-10.948,-8.8
4382,-10.448,-8.55
4383,-9.948,-8.8
4384,-9.448,-8.55
4385,-8.948,-8.8
4386,-8.448,-8.55
4387,-7.948,-8.8
4388,-7.448,-8.55
4389,-6.948,-8.8
4390,-6.448,-8.55
4391,-5.948,-8.8
4392,-5.448,-8.55
4393,-4.948,-8.8
4394,-4.448,-8.55
4395,-3.948,-8.8
4396,-3.448,-8.55
4397,-2.948,-8.8
4398,-2.448,-8.55
