"bid","lid","aid","sid","x","z","hit1","hit2"
2,1032,0,34,-14.762,-9.82,1,1
332,1032,0,34,-14.7745,-9.8,1,1
34,1032,1,38,-12.364,-4.79,1,1
333,1032,1,38,-12.3734,-4.8,1,1
1,1032,2,7,-20.1522,-9.16594,1,1
330,1032,2,7,-20.0881,-9.19788,1,1
1,1032,2,34,-21.8701,-5.97556,1,1
330,1032,2,34,-21.849,-5.936,1,1
33,1032,2,36,-20.0362,-2.91816,1,1
331,1032,2,36,-20.0253,-2.89974,1,1
32,1032,2,38,-19.6298,-1.51248,1,1
35,1032,2,38,-19.624,-1.53159,1,1
1,1032,3,7,-19.8215,-9.78009,1,1
2,1032,4,7,-19.2216,-9.82,1,1
332,1032,4,7,-19.2229,-9.8,1,1
2,1032,5,8,-17.9933,-9.82,1,1
332,1032,5,8,-18.0294,-9.8,1,1
2,1033,0,34,-13.762,-9.82,1,1
332,1033,0,34,-13.7745,-9.8,1,1
34,1033,1,38,-11.364,-4.79,1,1
334,1033,1,38,-11.3734,-4.8,1,1
1,1033,2,8,-20.5543,-8.41919,1,1
330,1033,2,8,-20.4889,-8.4554,1,1
1,1033,2,33,-21.35,-6.94135,1,1
330,1033,2,33,-21.3291,-6.89908,1,1
33,1033,2,36,-19.5502,-3.77952,1,1
331,1033,2,36,-19.5504,-3.77986,1,1
32,1033,2,38,-18.764,-1.06807,1,1
35,1033,2,38,-18.7578,-1.08865,1,1
2,1033,3,7,-18.8818,-9.82,1,1
332,1033,3,7,-18.8516,-9.8,1,1
2,1033,4,7,-18.2216,-9.82,1,1
332,1033,4,7,-18.2229,-9.8,1,1
2,1033,5,8,-16.9933,-9.82,1,1
332,1033,5,8,-17.0294,-9.8,1,1
2,1034,0,34,-12.762,-9.82,1,1
332,1034,0,34,-12.7745,-9.8,1,1
34,1034,1,38,-10.364,-4.79,1,1
334,1034,1,38,-10.3734,-4.8,1,1
330,1034,2,13,-20.8606,-7.76682,1,1
1,1034,2,15,-20.8896,-7.79639,1,1
1,1034,2,18,-20.8868,-7.80173,1,1
330,1034,2,19,-20.823,-7.83646,1,1
33,1034,2,35,-19.0909,-4.59339,1,1
331,1034,2,35,-19.1023,-4.61033,1,1
32,1034,2,39,-17.9234,-0.636567,1,1
35,1034,2,39,-17.9116,-0.655912,1,1
2,1034,3,7,-17.8818,-9.82,1,1
332,1034,3,7,-17.8516,-9.8,1,1
2,1034,4,7,-17.2216,-9.82,1,1
332,1034,4,7,-17.2229,-9.8,1,1
2,1034,5,8,-15.9933,-9.82,1,1
332,1034,5,8,-16.0294,-9.8,1,1
2,1035,0,34,-11.762,-9.82,1,1
332,1035,0,34,-11.7745,-9.8,1,1
34,1035,1,38,-9.36398,-4.79,1,1
334,1035,1,38,-9.37336,-4.8,1,1
34,1035,2,35,-18.2231,-4.79,1,1
333,1035,2,35,-18.2298,-4.8,1,1
32,1035,2,39,-17.1632,-0.246285,1,1
35,1035,2,39,-17.1506,-0.26677,1,1
2,1035,3,7,-16.8818,-9.82,1,1
332,1035,3,7,-16.8516,-9.8,1,1
2,1035,4,7,-16.2216,-9.82,1,1
332,1035,4,7,-16.2229,-9.8,1,1
2,1035,5,8,-14.9933,-9.82,1,1
332,1035,5,8,-15.0294,-9.8,1,1
2,1036,0,34,-10.762,-9.82,1,1
332,1036,0,34,-10.7745,-9.8,1,1
28,1036,1,38,-8.36,-4.78576,1,1
29,1036,1,38,-8.36,-4.78576,1,1
34,1036,1,38,-8.36398,-4.79,1,1
334,1036,1,38,-8.37336,-4.8,1,1
34,1036,2,35,-17.2231,-4.79,1,1
333,1036,2,35,-17.2298,-4.8,1,1
32,1036,2,39,-16.4029,0.143996,1,1
2,1036,3,7,-15.8818,-9.82,1,1
332,1036,3,7,-15.8516,-9.8,1,1
2,1036,3,33,-19.4829,-9.82,1,1
332,1036,3,33,-19.4962,-9.8,1,1
1,1036,3,37,-22.0572,-5.62802,1,1
330,1036,3,37,-21.937,-5.77308,1,1
2,1036,4,7,-15.2217,-9.82,1,1
332,1036,4,7,-15.2229,-9.8,1,1
2,1036,5,8,-13.9933,-9.82,1,1
332,1036,5,8,-14.0294,-9.8,1,1
2,1037,0,34,-9.76204,-9.82,1,1
332,1037,0,34,-9.77452,-9.8,1,1
24,1037,1,38,-7.36398,-4.79,1,1
334,1037,1,38,-7.37336,-4.8,1,1
34,1037,2,35,-16.2231,-4.79,1,1
333,1037,2,35,-16.2298,-4.8,1,1
31,1037,2,39,-15.511,0.32,1,1
2,1037,3,7,-14.8818,-9.82,1,1
332,1037,3,7,-14.8516,-9.8,1,1
2,1037,3,33,-18.4829,-9.82,1,1
332,1037,3,33,-18.4962,-9.8,1,1
1,1037,3,39,-22.1907,-5.38009,1,1
330,1037,3,39,-22.1497,-5.37898,1,1
2,1037,4,7,-14.2217,-9.82,1,1
332,1037,4,7,-14.2229,-9.8,1,1
2,1037,5,8,-12.9933,-9.82,1,1
332,1037,5,8,-13.0294,-9.8,1,1
2,1038,0,34,-8.76204,-9.82,1,1
332,1038,0,34,-8.77452,-9.8,1,1
24,1038,1,38,-6.36398,-4.79,1,1
334,1038,1,38,-6.37336,-4.8,1,1
34,1038,2,35,-15.2231,-4.79,1,1
333,1038,2,35,-15.2298,-4.8,1,1
31,1038,2,39,-14.511,0.32,1,1
2,1038,3,7,-13.8818,-9.82,1,1
332,1038,3,7,-13.8516,-9.8,1,1
2,1038,3,33,-17.4829,-9.82,1,1
332,1038,3,33,-17.4962,-9.8,1,1
1,1038,3,39,-22.1763,-5.4069,1,1
330,1038,3,39,-22.1352,-5.40578,1,1
2,1038,4,7,-13.2216,-9.82,1,1
332,1038,4,7,-13.2229,-9.8,1,1
2,1038,5,8,-11.9933,-9.82,1,1
332,1038,5,8,-12.0294,-9.8,1,1
2,1039,0,34,-7.76204,-9.82,1,1
332,1039,0,34,-7.77452,-9.8,1,1
334,1039,1,38,-5.37336,-4.8,1,1
34,1039,2,35,-14.2231,-4.79,1,1
333,1039,2,35,-14.2298,-4.8,1,1
31,1039,2,39,-13.511,0.32,1,1
2,1039,3,7,-12.8818,-9.82,1,1
332,1039,3,7,-12.8516,-9.8,1,1
2,1039,3,33,-16.4829,-9.82,1,1
332,1039,3,33,-16.4962,-9.8,1,1
2,1039,4,7,-12.2216,-9.82,1,1
332,1039,4,7,-12.2229,-9.8,1,1
2,1039,5,8,-10.9933,-9.82,1,1
332,1039,5,8,-11.0294,-9.8,1,1
2,1040,0,34,-6.76204,-9.82,1,1
332,1040,0,34,-6.77452,-9.8,1,1
34,1040,2,35,-13.2231,-4.79,1,1
333,1040,2,35,-13.2298,-4.8,1,1
31,1040,2,39,-12.511,0.32,1,1
2,1040,3,7,-11.8818,-9.82,1,1
332,1040,3,7,-11.8516,-9.8,1,1
2,1040,3,33,-15.4829,-9.82,1,1
332,1040,3,33,-15.4962,-9.8,1,1
2,1040,4,7,-11.2216,-9.82,1,1
332,1040,4,7,-11.2229,-9.8,1,1
2,1040,5,8,-9.99331,-9.82,1,1
332,1040,5,8,-10.0294,-9.8,1,1
2,1041,0,34,-5.76204,-9.82,1,1
332,1041,0,34,-5.77452,-9.8,1,1
335,1041,1,38,-3.37336,-4.8,1,1
34,1041,2,35,-12.2231,-4.79,1,1
333,1041,2,35,-12.2298,-4.8,1,1
31,1041,2,39,-11.511,0.32,1,1
2,1041,3,7,-10.8818,-9.82,1,1
332,1041,3,7,-10.8516,-9.8,1,1
2,1041,3,33,-14.4829,-9.82,1,1
332,1041,3,33,-14.4962,-9.8,1,1
2,1041,4,7,-10.2216,-9.82,1,1
332,1041,4,7,-10.2229,-9.8,1,1
2,1041,5,8,-8.99331,-9.82,1,1
332,1041,5,8,-9.02943,-9.8,1,1
2,1042,0,34,-4.76204,-9.82,1,1
332,1042,0,34,-4.77452,-9.8,1,1
170,1042,1,38,-2.50479,-4.94,1,1
171,1042,1,38,-2.84,-5.29707,1,1
336,1042,1,38,-2.84,-5.29707,1,1
34,1042,2,35,-11.2231,-4.79,1,1
334,1042,2,35,-11.2298,-4.8,1,1
31,1042,2,39,-10.511,0.32,1,1
2,1042,3,7,-9.88175,-9.82,1,1
332,1042,3,7,-9.85155,-9.8,1,1
2,1042,3,33,-13.4829,-9.82,1,1
332,1042,3,33,-13.4962,-9.8,1,1
2,1042,4,7,-9.22165,-9.82,1,1
332,1042,4,7,-9.22288,-9.8,1,1
2,1042,5,8,-7.99332,-9.82,1,1
332,1042,5,8,-8.02943,-9.8,1,1
2,1043,0,34,-3.76204,-9.82,1,1
332,1043,0,34,-3.77452,-9.8,1,1
171,1043,1,37,-2.84,-5.56147,1,1
336,1043,1,37,-2.84,-5.56147,1,1
34,1043,2,35,-10.2231,-4.79,1,1
334,1043,2,35,-10.2298,-4.8,1,1
31,1043,2,39,-9.51097,0.32,1,1
2,1043,3,7,-8.88175,-9.82,1,1
332,1043,3,7,-8.85155,-9.8,1,1
2,1043,3,33,-12.4829,-9.82,1,1
332,1043,3,33,-12.4962,-9.8,1,1
2,1043,4,7,-8.22165,-9.82,1,1
332,1043,4,7,-8.22288,-9.8,1,1
2,1043,5,8,-6.99332,-9.82,1,1
332,1043,5,8,-7.02943,-9.8,1,1
2,1044,0,34,-2.76204,-9.82,1,1
336,1044,0,34,-2.84,-9.69501,1,1
354,1044,0,34,-2.84,-9.69501,1,1
355,1044,0,34,-2.77452,-9.8,1,1
171,1044,1,36,-2.84,-5.59066,1,1
336,1044,1,36,-2.84,-5.59066,1,1
160,1044,1,38,-0.317037,-4.74,1,1
161,1044,1,38,-0.84,-5.29707,1,1
168,1044,1,38,-0.84,-5.29707,1,1
34,1044,2,35,-9.22311,-4.79,1,1
334,1044,2,35,-9.22983,-4.8,1,1
28,1044,2,36,-8.36,-3.46076,1,1
29,1044,2,36,-8.36,-3.46076,1,1
28,1044,2,39,-8.36,0.0742054,1,1
29,1044,2,39,-8.36,0.0742054,1,1
30,1044,2,39,-8.51097,0.32,1,1
2,1044,3,7,-7.88175,-9.82,1,1
332,1044,3,7,-7.85156,-9.8,1,1
2,1044,3,33,-11.4829,-9.82,1,1
332,1044,3,33,-11.4962,-9.8,1,1
2,1044,4,7,-7.22165,-9.82,1,1
332,1044,4,7,-7.22288,-9.8,1,1
2,1044,5,8,-5.99332,-9.82,1,1
332,1044,5,8,-6.02943,-9.8,1,1
171,1045,0,33,-2.84,-8.13801,1,1
172,1045,0,33,-2.4663,-8.7,1,1
336,1045,0,33,-2.84,-8.13801,1,1
353,1045,0,33,-2.4663,-8.7,1,1
2,1045,0,34,-1.76204,-9.82,1,1
355,1045,0,34,-1.77452,-9.8,1,1
171,1045,1,35,-2.84,-5.54803,1,1
336,1045,1,35,-2.84,-5.54803,1,1
161,1045,1,37,-0.84,-5.56147,1,1
168,1045,1,37,-0.84,-5.56147,1,1
24,1045,2,35,-8.22311,-4.79,1,1
334,1045,2,35,-8.22983,-4.8,1,1
2,1045,3,7,-6.88175,-9.82,1,1
332,1045,3,7,-6.85156,-9.8,1,1
2,1045,3,33,-10.4829,-9.82,1,1
332,1045,3,33,-10.4962,-9.8,1,1
2,1045,4,7,-6.22165,-9.82,1,1
332,1045,4,7,-6.22288,-9.8,1,1
2,1045,5,8,-4.99331,-9.82,1,1
332,1045,5,8,-5.02943,-9.8,1,1
171,1046,0,9,-2.84,-7.38399,1,1
336,1046,0,9,-2.84,-7.38399,1,1
172,1046,0,33,-1.4663,-8.7,1,1
353,1046,0,33,-1.4663,-8.7,1,1
2,1046,0,34,-0.762042,-9.82,1,1
355,1046,0,34,-0.774516,-9.8,1,1
171,1046,1,34,-2.84,-5.50816,1,1
336,1046,1,34,-2.84,-5.50816,1,1
161,1046,1,36,-0.84,-5.59066,1,1
168,1046,1,36,-0.84,-5.59066,1,1
159,1046,1,38,1.68296,-4.74,1,1
24,1046,2,35,-7.22311,-4.79,1,1
334,1046,2,35,-7.22983,-4.8,1,1
25,1046,2,37,-5.6,-1.81422,1,1
25,1046,2,38,-5.6,-1.61105,1,1
26,1046,2,39,-6.50854,0.316057,1,1
2,1046,3,7,-5.88175,-9.82,1,1
332,1046,3,7,-5.85156,-9.8,1,1
2,1046,3,33,-9.48289,-9.82,1,1
332,1046,3,33,-9.49619,-9.8,1,1
2,1046,4,7,-5.22165,-9.82,1,1
332,1046,4,7,-5.22288,-9.8,1,1
2,1046,5,8,-3.99331,-9.82,1,1
332,1046,5,8,-4.02943,-9.8,1,1
171,1047,0,8,-2.84,-8.04138,1,1
336,1047,0,8,-2.84,-8.04138,1,1
168,1047,0,33,-0.84,-8.13801,1,1
174,1047,0,33,-0.466305,-8.7,1,1
353,1047,0,33,-0.466304,-8.7,1,1
2,1047,0,34,0.237958,-9.82,1,1
355,1047,0,34,0.225484,-9.8,1,1
171,1047,1,33,-2.84,-5.54309,1,1
336,1047,1,33,-2.84,-5.54309,1,1
161,1047,1,35,-0.84,-5.54803,1,1
168,1047,1,35,-0.84,-5.54803,1,1
158,1047,1,37,1.94,-5.42869,1,1
166,1047,1,37,1.94,-5.42869,1,1
24,1047,2,35,-6.22311,-4.79,1,1
25,1047,2,35,-5.6,-3.8631,1,1
334,1047,2,35,-6.22983,-4.8,1,1
25,1047,2,36,-5.6,-3.86298,1,1
2,1047,3,7,-4.88175,-9.82,1,1
332,1047,3,7,-4.85156,-9.8,1,1
2,1047,3,33,-8.48289,-9.82,1,1
332,1047,3,33,-8.49619,-9.8,1,1
2,1047,4,7,-4.22165,-9.82,1,1
332,1047,4,7,-4.22288,-9.8,1,1
2,1047,5,8,-2.99332,-9.82,1,1
332,1047,5,8,-3.02943,-9.8,1,1
171,1048,0,7,-2.84,-8.6646,1,1
336,1048,0,7,-2.84,-8.6646,1,1
168,1048,0,9,-0.84,-7.38399,1,1
174,1048,0,33,0.533696,-8.7,1,1
353,1048,0,33,0.533696,-8.7,1,1
2,1048,0,34,1.23796,-9.82,1,1
355,1048,0,34,1.22548,-9.8,1,1
171,1048,1,33,-2.84,-5.6064,1,1
336,1048,1,33,-2.84,-5.6064,1,1
161,1048,1,34,-0.84,-5.50816,1,1
168,1048,1,34,-0.84,-5.50816,1,1
158,1048,1,37,1.94,-5.59892,1,1
166,1048,1,37,1.94,-5.59892,1,1
163,1048,1,38,3.44,-4.99881,1,1
347,1048,1,38,3.44,-4.99881,1,1
348,1048,1,38,3.57031,-4.86,1,1
2,1048,3,7,-3.88175,-9.82,1,1
332,1048,3,7,-3.85155,-9.8,1,1
2,1048,3,33,-7.48289,-9.82,1,1
332,1048,3,33,-7.49619,-9.8,1,1
2,1048,4,7,-3.22165,-9.82,1,1
332,1048,4,7,-3.22288,-9.8,1,1
336,1048,5,7,-2.84,-9.38614,1,1
354,1048,5,7,-2.84,-9.38614,1,1
2,1048,5,8,-1.99332,-9.82,1,1
355,1048,5,8,-2.02943,-9.8,1,1
172,1049,0,7,-1.89345,-8.7,1,1
353,1049,0,7,-1.89346,-8.7,1,1
168,1049,0,8,-0.84,-8.04138,1,1
174,1049,0,33,1.5337,-8.7,1,1
353,1049,0,33,1.5337,-8.7,1,1
2,1049,0,34,2.23796,-9.82,1,1
355,1049,0,34,2.22548,-9.8,1,1
172,1049,1,7,-2.67927,-8.7,1,1
353,1049,1,7,-2.67927,-8.7,1,1
171,1049,1,13,-2.84,-5.57567,1,1
336,1049,1,13,-2.84,-5.57567,1,1
171,1049,1,20,-2.84,-5.66571,1,1
336,1049,1,20,-2.84,-5.66571,1,1
161,1049,1,33,-0.84,-5.54309,1,1
168,1049,1,33,-0.84,-5.54309,1,1
158,1049,1,36,1.94,-5.5875,1,1
166,1049,1,36,1.94,-5.5875,1,1
163,1049,1,37,3.44,-5.5138,1,1
347,1049,1,37,3.44,-5.5138,1,1
348,1049,1,38,4.57031,-4.86,1,1
336,1049,2,6,-2.84,-9.28716,1,1
354,1049,2,6,-2.84,-9.28716,1,1
2,1049,3,7,-2.88175,-9.82,1,1
332,1049,3,7,-2.85156,-9.8,1,1
336,1049,3,7,-2.84,-9.79235,1,1
354,1049,3,7,-2.84,-9.79235,1,1
2,1049,3,33,-6.48289,-9.82,1,1
332,1049,3,33,-6.49619,-9.8,1,1
2,1049,4,7,-2.22165,-9.82,1,1
355,1049,4,7,-2.22288,-9.8,1,1
2,1049,5,8,-0.993315,-9.82,1,1
