lid,aid,ninters
1453,0,2
1454,0,3
1455,0,3
1456,0,3
1457,0,3
1458,0,3
1459,0,5
1460,0,11
1461,0,7
1462,0,7
1463,0,8
1536,0,3
1537,0,3
1538,0,3
1539,0,3
1540,0,3
1541,0,3
1542,0,5
1543,0,5
1544,0,11
1545,0,6
1546,0,7
1547,0,8
1620,0,3
1621,0,3
1622,0,3
1623,0,3
1624,0,3
1625,0,3
1626,0,5
1627,0,5
1628,0,11
1629,0,6
1630,0,9
1631,0,7
1703,0,4
1704,0,5
1705,0,7
1706,0,5
1707,0,5
1708,0,5
1709,0,7
1710,0,7
1711,0,6
1712,0,5
1713,0,8
1714,0,10
1715,0,6
1786,0,4
1787,0,3
1788,0,2
1789,0,2
1790,0,3
1791,0,5
1792,0,5
1793,0,6
1794,0,6
1795,0,6
1796,0,3
1797,0,4
1799,0,3
1870,0,3
1871,0,3
1872,0,7
1873,0,4
1953,0,11
1954,0,3
1955,0,3
1956,0,6
1957,0,5
2037,0,3
2038,0,5
2039,0,5
2040,0,5
2120,0,5
2121,0,3
2122,0,3
2123,0,5
2124,0,7
2204,0,2
2205,0,2
2206,0,4
2207,0,4
2287,0,2
2289,0,5
2290,0,4
2291,0,4
2371,0,3
2372,0,5
2373,0,3
2374,0,2
2454,0,10
2455,0,3
2456,0,3
2457,0,3
2458,0,3
2538,0,3
2539,0,3
2540,0,3
2541,0,3
2621,0,5
2622,0,3
2623,0,9
2624,0,3
2625,0,3
2705,0,3
2706,0,3
2707,0,5
2708,0,7
2788,0,2
2789,0,3
2790,0,5
2791,0,5
2792,0,5
2872,0,3
2873,0,2
2874,0,4
2875,0,5
2883,0,5
2884,0,5
2885,0,6
2886,0,8
2887,0,7
2888,0,5
2889,0,5
2890,0,3
2891,0,6
2892,0,7
2893,0,11
2958,0,5
2967,0,5
2968,0,5
2969,0,6
2970,0,6
2971,0,5
2972,0,5
2973,0,3
2974,0,3
2975,0,7
2976,0,9
2977,0,9
3051,0,5
3052,0,5
3053,0,6
3054,0,4
3055,0,5
3056,0,3
3057,0,3
3058,0,4
3059,0,9
3060,0,9
3061,0,9
3064,0,7
3065,0,9
3066,0,9
3067,0,9
3135,0,7
3136,0,7
3137,0,8
3138,0,6
3139,0,7
3140,0,5
3141,0,3
3142,0,7
3143,0,9
3144,0,9
3145,0,11
3148,0,10
3149,0,11
3150,0,9
3151,0,8
3219,0,3
3220,0,3
3221,0,4
3222,0,4
3223,0,4
3224,0,3
3225,0,4
3226,0,4
3227,0,7
3228,0,9
3229,0,9
3232,0,8
3233,0,5
3234,0,6
3235,0,7
3303,0,4
3304,0,7
3305,0,6
3306,0,8
3307,0,6
3308,0,8
3309,0,8
3310,0,8
3311,0,12
3312,0,10
3313,0,11
3316,0,5
3317,0,5
3318,0,5
3319,0,3
3477,0,3
3478,0,5
3479,0,7
3480,0,9
3481,0,9
3561,0,5
3562,0,5
3563,0,6
3564,0,10
3565,0,9
3645,0,8
3646,0,7
3647,0,6
3648,0,9
3649,0,9
3729,0,12
3730,0,9
3731,0,11
3732,0,11
3733,0,11
