lid,aid,ninters
1032,0,2
1033,0,3
1034,0,3
1035,0,3
1036,0,3
1037,0,3
1038,0,3
1039,0,3
1040,0,3
1041,0,3
1042,0,3
1043,0,3
1044,0,5
1045,0,7
1046,0,7
1047,0,8
1048,0,8
1049,0,8
1050,0,8
1051,0,7
1052,0,7
1053,0,7
1054,0,7
1055,0,3
1056,0,3
1057,0,3
1058,0,3
1059,0,3
1060,0,3
1061,0,3
1062,0,3
1063,0,3
1115,0,3
1116,0,3
1117,0,3
1118,0,3
1119,0,3
1120,0,3
1121,0,3
1122,0,3
1123,0,3
1124,0,3
1125,0,3
1126,0,3
1127,0,3
1128,0,7
1129,0,7
1130,0,8
1131,0,8
1132,0,11
1133,0,10
1134,0,14
1135,0,11
1136,0,7
1137,0,7
1138,0,5
1139,0,3
1140,0,3
1141,0,3
1142,0,3
1143,0,3
1144,0,3
1145,0,3
1146,0,3
1147,0,3
1199,0,3
1200,0,3
1201,0,3
1202,0,3
1203,0,3
1204,0,3
1205,0,3
1206,0,3
1207,0,3
1208,0,3
1209,0,3
1210,0,3
1211,0,5
1212,0,7
1213,0,7
1214,0,8
1215,0,11
1216,0,11
1217,0,9
1218,0,11
1219,0,9
1220,0,9
1221,0,9
1222,0,7
1223,0,3
1224,0,3
1225,0,3
1226,0,3
1227,0,3
1228,0,3
1229,0,3
1230,0,3
1231,0,3
1282,0,7
1283,0,7
1284,0,7
1285,0,7
1286,0,7
1287,0,7
1288,0,7
1289,0,7
1290,0,7
1291,0,7
1292,0,13
1293,0,9
1294,0,7
1295,0,10
1296,0,9
1297,0,9
1298,0,10
1299,0,13
1300,0,10
1301,0,14
1302,0,12
1303,0,7
1304,0,6
1305,0,9
1306,0,7
1307,0,5
1308,0,7
1309,0,7
1310,0,5
1311,0,7
1312,0,5
1313,0,5
1314,0,3
1315,0,3
1327,0,2
1328,0,2
1329,0,2
1366,0,5
1367,0,5
1368,0,6
1369,0,5
1370,0,5
1371,0,5
1372,0,5
1373,0,5
1374,0,5
1375,0,5
1376,0,13
1377,0,9
1378,0,9
1379,0,8
1380,0,9
1381,0,8
1382,0,9
1383,0,9
1384,0,8
1385,0,11
1386,0,6
1387,0,5
1388,0,5
1389,0,5
1390,0,3
1391,0,7
1392,0,7
1393,0,7
1394,0,5
1395,0,7
1396,0,5
1397,0,3
1398,0,5
1399,0,5
1411,0,2
1412,0,2
1413,0,2
1414,0,2
1415,0,2
1416,0,2
1417,0,2
1449,0,5
1450,0,5
1451,0,5
1452,0,5
1453,0,3
1454,0,3
1455,0,3
1456,0,3
1457,0,3
1458,0,3
1459,0,5
1460,0,11
1461,0,7
1462,0,7
1463,0,8
1464,0,4
1465,0,6
1466,0,6
1467,0,5
1468,0,10
1469,0,9
1470,0,8
1471,0,6
1472,0,4
1473,0,4
1474,0,5
1475,0,8
1476,0,6
1477,0,4
1478,0,6
1479,0,3
1480,0,3
1481,0,3
1482,0,3
1483,0,3
1495,0,6
1496,0,6
1497,0,8
1498,0,6
1499,0,4
1500,0,6
1501,0,6
1502,0,6
1503,0,9
1504,0,9
1505,0,3
1533,0,7
1534,0,5
1535,0,5
1536,0,3
1537,0,3
1538,0,3
1539,0,3
1540,0,3
1541,0,3
1542,0,5
1543,0,5
1544,0,11
1545,0,6
1546,0,7
1547,0,8
1548,0,7
1549,0,7
1550,0,6
1551,0,7
1552,0,10
1553,0,7
1554,0,10
1555,0,12
1556,0,14
1557,0,8
1558,0,8
1559,0,10
1560,0,5
1561,0,6
1562,0,6
1563,0,3
1564,0,3
1565,0,3
1566,0,3
1567,0,3
1579,0,6
1580,0,6
1581,0,6
1582,0,8
1583,0,8
1584,0,4
1585,0,4
1586,0,8
1587,0,7
1588,0,11
1589,0,5
1590,0,5
1616,0,7
1617,0,7
1618,0,7
1619,0,9
1620,0,3
1621,0,3
1622,0,3
1623,0,3
1624,0,3
1625,0,3
1626,0,5
1627,0,5
1628,0,11
1629,0,6
1630,0,9
1631,0,7
1632,0,4
1633,0,5
1634,0,5
1635,0,8
1636,0,7
1637,0,10
1638,0,8
1639,0,10
1640,0,10
1641,0,9
1642,0,8
1643,0,11
1644,0,7
1645,0,6
1646,0,4
1647,0,3
1648,0,3
1649,0,3
1650,0,3
1651,0,3
1663,0,4
1664,0,4
1665,0,6
1666,0,6
1667,0,6
1668,0,6
1669,0,6
1670,0,7
1671,0,3
1672,0,9
1673,0,5
1674,0,3
1700,0,7
1701,0,7
1702,0,7
1703,0,4
1704,0,5
1705,0,7
1706,0,5
1707,0,5
1708,0,5
1709,0,7
1710,0,7
1711,0,6
1712,0,5
1713,0,8
1714,0,10
1715,0,6
1716,0,5
1717,0,5
1718,0,5
1719,0,6
1720,0,8
1721,0,8
1722,0,8
1723,0,10
1724,0,7
1725,0,10
1726,0,6
1727,0,6
1728,0,6
1729,0,6
1730,0,4
1731,0,4
1732,0,3
1733,0,3
1734,0,3
1735,0,3
1747,0,4
1748,0,4
1749,0,6
1750,0,6
1751,0,6
1752,0,6
1753,0,6
1754,0,3
1755,0,5
1756,0,7
1757,0,5
1758,0,3
1783,0,5
1784,0,5
1785,0,5
1786,0,4
1787,0,3
1788,0,2
1789,0,2
1790,0,3
1791,0,5
1792,0,5
1793,0,6
1794,0,6
1795,0,6
1796,0,3
1797,0,4
1799,0,3
1800,0,2
1801,0,2
1802,0,3
1803,0,5
1804,0,7
1805,0,7
1806,0,10
1807,0,9
1808,0,6
1809,0,3
1810,0,6
1811,0,9
1812,0,3
1813,0,3
1814,0,4
1815,0,4
1816,0,3
1817,0,3
1818,0,3
1819,0,3
1831,0,3
1832,0,5
1833,0,4
1834,0,4
1835,0,7
1836,0,12
1837,0,10
1838,0,9
1839,0,7
1840,0,11
1841,0,3
1842,0,3
1866,0,8
1867,0,13
1868,0,5
1869,0,5
1870,0,3
1871,0,3
1872,0,7
1873,0,4
1874,0,4
1875,0,6
1876,0,6
1877,0,7
1878,0,6
1879,0,4
1880,0,7
1881,0,7
1882,0,3
1883,0,3
1884,0,3
1885,0,5
1886,0,7
1887,0,7
1888,0,11
1889,0,11
1890,0,11
1891,0,14
1892,0,12
1893,0,8
1894,0,5
1895,0,6
1896,0,5
1897,0,3
1898,0,3
1899,0,4
1900,0,3
1901,0,3
1902,0,3
1903,0,3
1915,0,7
1916,0,7
1917,0,6
1918,0,5
1919,0,11
1920,0,9
1921,0,8
1922,0,7
1923,0,7
1924,0,9
1925,0,7
1926,0,5
1950,0,7
1951,0,7
1952,0,7
1953,0,11
1954,0,3
1955,0,3
1956,0,6
1957,0,5
1958,0,4
1959,0,6
1960,0,6
1961,0,6
1962,0,5
1963,0,4
1964,0,7
1965,0,5
1966,0,5
1967,0,6
1968,0,8
1969,0,8
1970,0,6
1971,0,10
1972,0,13
1973,0,13
1974,0,12
1975,0,13
1976,0,8
1977,0,7
1978,0,7
1979,0,6
1980,0,6
1981,0,3
1982,0,3
1983,0,4
1984,0,3
1985,0,3
1986,0,3
1987,0,3
1999,0,7
2000,0,6
2001,0,6
2002,0,8
2003,0,12
2004,0,9
2005,0,9
2006,0,11
2007,0,7
2008,0,9
2009,0,5
2010,0,3
2033,0,7
2034,0,7
2035,0,7
2036,0,7
2037,0,3
2038,0,5
2039,0,5
2040,0,5
2041,0,4
2042,0,4
2043,0,6
2054,0,6
2055,0,10
2060,0,13
2061,0,12
2062,0,4
2063,0,3
2064,0,7
2065,0,8
2066,0,7
2067,0,7
2068,0,7
2069,0,5
2070,0,3
2071,0,3
2083,0,5
2084,0,2
2085,0,7
2086,0,8
2087,0,10
2088,0,9
2089,0,7
2090,0,7
2091,0,5
2092,0,9
2093,0,5
