bid,lid,aid,sid,x,z,hit1,hit2
2,1032,0,34,-14.762,-9.82,1,1
332,1032,0,34,-14.7745,-9.8,1,1
2,1033,0,34,-13.762,-9.82,1,1
332,1033,0,34,-13.7745,-9.8,1,1
2,1034,0,34,-12.762,-9.82,1,1
332,1034,0,34,-12.7745,-9.8,1,1
2,1035,0,34,-11.762,-9.82,1,1
332,1035,0,34,-11.7745,-9.8,1,1
2,1036,0,34,-10.762,-9.82,1,1
332,1036,0,34,-10.7745,-9.8,1,1
2,1037,0,34,-9.76204,-9.82,1,1
332,1037,0,34,-9.77452,-9.8,1,1
2,1038,0,34,-8.76204,-9.82,1,1
332,1038,0,34,-8.77452,-9.8,1,1
2,1039,0,34,-7.76204,-9.82,1,1
332,1039,0,34,-7.77452,-9.8,1,1
2,1040,0,34,-6.76204,-9.82,1,1
332,1040,0,34,-6.77452,-9.8,1,1
2,1041,0,34,-5.76204,-9.82,1,1
332,1041,0,34,-5.77452,-9.8,1,1
2,1042,0,34,-4.76204,-9.82,1,1
332,1042,0,34,-4.77452,-9.8,1,1
2,1043,0,34,-3.76204,-9.82,1,1
332,1043,0,34,-3.77452,-9.8,1,1
2,1044,0,34,-2.76204,-9.82,1,1
336,1044,0,34,-2.84,-9.69501,1,1
354,1044,0,34,-2.84,-9.69501,1,1
355,1044,0,34,-2.77452,-9.8,1,1
171,1045,0,33,-2.84,-8.13801,1,1
172,1045,0,33,-2.4663,-8.7,1,1
336,1045,0,33,-2.84,-8.13801,1,1
353,1045,0,33,-2.4663,-8.7,1,1
2,1045,0,34,-1.76204,-9.82,1,1
355,1045,0,34,-1.77452,-9.8,1,1
171,1046,0,9,-2.84,-7.38399,1,1
336,1046,0,9,-2.84,-7.38399,1,1
172,1046,0,33,-1.4663,-8.7,1,1
353,1046,0,33,-1.4663,-8.7,1,1
2,1046,0,34,-0.762042,-9.82,1,1
355,1046,0,34,-0.774516,-9.8,1,1
171,1047,0,8,-2.84,-8.04138,1,1
336,1047,0,8,-2.84,-8.04138,1,1
168,1047,0,33,-0.84,-8.13801,1,1
174,1047,0,33,-0.466305,-8.7,1,1
353,1047,0,33,-0.466304,-8.7,1,1
2,1047,0,34,0.237958,-9.82,1,1
355,1047,0,34,0.225484,-9.8,1,1
171,1048,0,7,-2.84,-8.6646,1,1
336,1048,0,7,-2.84,-8.6646,1,1
168,1048,0,9,-0.84,-7.38399,1,1
174,1048,0,33,0.533696,-8.7,1,1
353,1048,0,33,0.533696,-8.7,1,1
2,1048,0,34,1.23796,-9.82,1,1
355,1048,0,34,1.22548,-9.8,1,1
172,1049,0,7,-1.89345,-8.7,1,1
353,1049,0,7,-1.89346,-8.7,1,1
168,1049,0,8,-0.84,-8.04138,1,1
174,1049,0,33,1.5337,-8.7,1,1
353,1049,0,33,1.5337,-8.7,1,1
2,1049,0,34,2.23796,-9.82,1,1
355,1049,0,34,2.22548,-9.8,1,1
168,1050,0,7,-0.84,-8.6646,1,1
172,1050,0,7,-0.893454,-8.7,1,1
353,1050,0,7,-0.893455,-8.7,1,1
174,1050,0,33,2.5337,-8.7,1,1
353,1050,0,33,2.5337,-8.7,1,1
2,1050,0,34,3.23796,-9.82,1,1
355,1050,0,34,3.22548,-9.8,1,1
174,1051,0,7,0.106546,-8.7,1,1
353,1051,0,7,0.106545,-8.7,1,1
175,1051,0,33,3.44,-8.55909,1,1
347,1051,0,33,3.44,-8.5591,1,1
2,1051,0,34,4.23796,-9.82,1,1
351,1051,0,34,4.23796,-9.82,1,1
174,1052,0,7,1.10655,-8.7,1,1
353,1052,0,7,1.10654,-8.7,1,1
175,1052,0,10,3.44,-7.27456,1,1
347,1052,0,10,3.44,-7.27457,1,1
2,1052,0,34,5.23796,-9.82,1,1
351,1052,0,34,5.23796,-9.82,1,1
174,1053,0,7,2.10655,-8.7,1,1
353,1053,0,7,2.10655,-8.7,1,1
175,1053,0,9,3.44,-7.86908,1,1
347,1053,0,9,3.44,-7.86907,1,1
2,1053,0,34,6.23796,-9.82,1,1
351,1053,0,34,6.23796,-9.82,1,1
174,1054,0,7,3.10654,-8.7,1,1
175,1054,0,7,3.44,-8.47915,1,1
347,1054,0,7,3.44,-8.47915,1,1
353,1054,0,7,3.10654,-8.7,1,1
2,1054,0,34,7.23796,-9.82,1,1
351,1054,0,34,7.23796,-9.82,1,1
2,1055,0,34,8.23796,-9.82,1,1
351,1055,0,34,8.23796,-9.82,1,1
2,1056,0,34,9.23796,-9.82,1,1
351,1056,0,34,9.23796,-9.82,1,1
2,1057,0,34,10.238,-9.82,1,1
351,1057,0,34,10.238,-9.82,1,1
2,1058,0,34,11.238,-9.82,1,1
351,1058,0,34,11.238,-9.82,1,1
7,1059,0,34,12.22,-9.79121,1,1
350,1059,0,34,12.22,-9.79121,1,1
7,1060,0,33,12.22,-8.22824,1,1
350,1060,0,33,12.22,-8.22825,1,1
7,1061,0,9,12.22,-7.34356,1,1
350,1061,0,9,12.22,-7.34356,1,1
7,1062,0,8,12.22,-8.00529,1,1
350,1062,0,8,12.22,-8.00529,1,1
7,1063,0,7,12.22,-8.62486,1,1
350,1063,0,7,12.22,-8.62486,1,1
2,1115,0,35,-15.2618,-9.82,1,1
332,1115,0,35,-15.2716,-9.8,1,1
2,1116,0,35,-14.2618,-9.82,1,1
332,1116,0,35,-14.2716,-9.8,1,1
2,1117,0,35,-13.2618,-9.82,1,1
332,1117,0,35,-13.2716,-9.8,1,1
2,1118,0,35,-12.2618,-9.82,1,1
332,1118,0,35,-12.2716,-9.8,1,1
2,1119,0,35,-11.2618,-9.82,1,1
332,1119,0,35,-11.2716,-9.8,1,1
2,1120,0,35,-10.2618,-9.82,1,1
332,1120,0,35,-10.2716,-9.8,1,1
2,1121,0,35,-9.26182,-9.82,1,1
332,1121,0,35,-9.27162,-9.8,1,1
2,1122,0,35,-8.26182,-9.82,1,1
332,1122,0,35,-8.27162,-9.8,1,1
2,1123,0,35,-7.26182,-9.82,1,1
332,1123,0,35,-7.27162,-9.8,1,1
2,1124,0,35,-6.26182,-9.82,1,1
332,1124,0,35,-6.27162,-9.8,1,1
2,1125,0,35,-5.26182,-9.82,1,1
332,1125,0,35,-5.27162,-9.8,1,1
2,1126,0,35,-4.26183,-9.82,1,1
332,1126,0,35,-4.27162,-9.8,1,1
2,1127,0,35,-3.26182,-9.82,1,1
332,1127,0,35,-3.27162,-9.8,1,1
171,1128,0,34,-2.84,-8.69501,1,1
172,1128,0,34,-2.83689,-8.7,1,1
336,1128,0,34,-2.84,-8.69501,1,1
353,1128,0,34,-2.83689,-8.7,1,1
2,1128,0,35,-2.26182,-9.82,1,1
355,1128,0,35,-2.27162,-9.8,1,1
171,1129,0,33,-2.84,-7.13801,1,1
336,1129,0,33,-2.84,-7.13801,1,1
172,1129,0,34,-1.83689,-8.7,1,1
353,1129,0,34,-1.83689,-8.7,1,1
2,1129,0,35,-1.26182,-9.82,1,1
355,1129,0,35,-1.27162,-9.8,1,1
171,1130,0,9,-2.84,-6.38399,1,1
336,1130,0,9,-2.84,-6.38399,1,1
168,1130,0,34,-0.84,-8.69501,1,1
174,1130,0,34,-0.836888,-8.7,1,1
353,1130,0,34,-0.836887,-8.7,1,1
2,1130,0,35,-0.261824,-9.82,1,1
355,1130,0,35,-0.271617,-9.8,1,1
171,1131,0,8,-2.84,-7.04138,1,1
336,1131,0,8,-2.84,-7.04138,1,1
168,1131,0,33,-0.84,-7.13801,1,1
174,1131,0,34,0.163113,-8.7,1,1
353,1131,0,34,0.163113,-8.7,1,1
2,1131,0,35,0.738176,-9.82,1,1
355,1131,0,35,0.728383,-9.8,1,1
171,1132,0,7,-2.84,-7.6646,1,1
336,1132,0,7,-2.84,-7.6646,1,1
161,1132,0,9,-0.84,-6.38399,1,1
168,1132,0,9,-0.84,-6.38399,1,1
162,1132,0,33,0.094825,-7.04,1,1
173,1132,0,33,0.094825,-7.04,1,1
174,1132,0,34,1.16311,-8.7,1,1
353,1132,0,34,1.16311,-8.7,1,1
2,1132,0,35,1.73818,-9.82,1,1
355,1132,0,35,1.72838,-9.8,1,1
162,1133,0,8,-0.837707,-7.04,1,1
168,1133,0,8,-0.84,-7.04138,1,1
173,1133,0,8,-0.837707,-7.04,1,1
162,1133,0,33,1.09483,-7.04,1,1
173,1133,0,33,1.09482,-7.04,1,1
174,1133,0,34,2.16311,-8.7,1,1
353,1133,0,34,2.16311,-8.7,1,1
2,1133,0,35,2.73818,-9.82,1,1
355,1133,0,35,2.72838,-9.8,1,1
168,1134,0,7,-0.84,-7.6646,1,1
162,1134,0,8,0.162293,-7.04,1,1
173,1134,0,8,0.162292,-7.04,1,1
158,1134,0,32,1.94,-6.78071,1,1
166,1134,0,32,1.94,-6.78071,1,1
167,1134,0,33,2.09483,-7.04,1,1
173,1134,0,33,2.09483,-7.04,1,1
174,1134,0,34,3.16311,-8.7,1,1
353,1134,0,34,3.16311,-8.7,1,1
2,1134,0,35,3.73818,-9.82,1,1
347,1134,0,35,3.44,-9.21105,1,1
351,1134,0,35,3.73818,-9.82,1,1
352,1134,0,35,3.44,-9.21105,1,1
162,1135,0,8,1.16229,-7.04,1,1
173,1135,0,8,1.16229,-7.04,1,1
158,1135,0,9,1.94,-6.53221,1,1
166,1135,0,9,1.94,-6.53221,1,1
167,1135,0,33,3.09483,-7.04,1,1
173,1135,0,33,3.09483,-7.04,1,1
175,1135,0,33,3.44,-7.55909,1,1
347,1135,0,33,3.44,-7.55909,1,1
2,1135,0,35,4.73818,-9.82,1,1
351,1135,0,35,4.73818,-9.82,1,1
167,1136,0,8,2.16229,-7.04,1,1
173,1136,0,8,2.16229,-7.04,1,1
163,1136,0,10,3.44,-6.27456,1,1
347,1136,0,10,3.44,-6.27457,1,1
2,1136,0,35,5.73818,-9.82,1,1
351,1136,0,35,5.73818,-9.82,1,1
167,1137,0,8,3.16229,-7.04,1,1
173,1137,0,8,3.16229,-7.04,1,1
163,1137,0,9,3.44,-6.86907,1,1
347,1137,0,9,3.44,-6.86907,1,1
2,1137,0,35,6.73818,-9.82,1,1
351,1137,0,35,6.73818,-9.82,1,1
175,1138,0,7,3.44,-7.47915,1,1
347,1138,0,7,3.44,-7.47915,1,1
2,1138,0,35,7.73818,-9.82,1,1
351,1138,0,35,7.73818,-9.82,1,1
2,1139,0,35,8.73818,-9.82,1,1
351,1139,0,35,8.73818,-9.82,1,1
2,1140,0,35,9.73818,-9.82,1,1
351,1140,0,35,9.73818,-9.82,1,1
2,1141,0,35,10.7382,-9.82,1,1
351,1141,0,35,10.7382,-9.82,1,1
2,1142,0,35,11.7382,-9.82,1,1
351,1142,0,35,11.7382,-9.82,1,1
7,1143,0,34,12.22,-8.79121,1,1
350,1143,0,34,12.22,-8.79121,1,1
7,1144,0,33,12.22,-7.22824,1,1
350,1144,0,33,12.22,-7.22825,1,1
7,1145,0,9,12.22,-6.34356,1,1
350,1145,0,9,12.22,-6.34356,1,1
7,1146,0,8,12.22,-7.00529,1,1
350,1146,0,8,12.22,-7.00529,1,1
7,1147,0,7,12.22,-7.62486,1,1
350,1147,0,7,12.22,-7.62486,1,1
2,1199,0,36,-14.7172,-9.82,1,1
332,1199,0,36,-14.7284,-9.8,1,1
2,1200,0,36,-13.7172,-9.82,1,1
332,1200,0,36,-13.7284,-9.8,1,1
2,1201,0,36,-12.7172,-9.82,1,1
332,1201,0,36,-12.7284,-9.8,1,1
2,1202,0,36,-11.7172,-9.82,1,1
332,1202,0,36,-11.7284,-9.8,1,1
2,1203,0,36,-10.7172,-9.82,1,1
332,1203,0,36,-10.7284,-9.8,1,1
2,1204,0,36,-9.71721,-9.82,1,1
332,1204,0,36,-9.72837,-9.8,1,1
2,1205,0,36,-8.71721,-9.82,1,1
332,1205,0,36,-8.72837,-9.8,1,1
2,1206,0,36,-7.71721,-9.82,1,1
332,1206,0,36,-7.72837,-9.8,1,1
2,1207,0,36,-6.7172,-9.82,1,1
332,1207,0,36,-6.72837,-9.8,1,1
2,1208,0,36,-5.7172,-9.82,1,1
332,1208,0,36,-5.72837,-9.8,1,1
2,1209,0,36,-4.7172,-9.82,1,1
332,1209,0,36,-4.72837,-9.8,1,1
2,1210,0,36,-3.7172,-9.82,1,1
332,1210,0,36,-3.72837,-9.8,1,1
2,1211,0,36,-2.7172,-9.82,1,1
336,1211,0,36,-2.84,-9.60007,1,1
354,1211,0,36,-2.84,-9.60007,1,1
355,1211,0,36,-2.72837,-9.8,1,1
171,1212,0,34,-2.84,-7.69501,1,1
336,1212,0,34,-2.84,-7.69501,1,1
172,1212,0,35,-2.32058,-8.7,1,1
353,1212,0,35,-2.32058,-8.7,1,1
2,1212,0,36,-1.7172,-9.82,1,1
355,1212,0,36,-1.72837,-9.8,1,1
171,1213,0,33,-2.84,-6.13801,1,1
336,1213,0,33,-2.84,-6.13801,1,1
172,1213,0,35,-1.32058,-8.7,1,1
353,1213,0,35,-1.32058,-8.7,1,1
2,1213,0,36,-0.717204,-9.82,1,1
355,1213,0,36,-0.728371,-9.8,1,1
171,1214,0,9,-2.84,-5.38399,1,1
336,1214,0,9,-2.84,-5.38399,1,1
168,1214,0,34,-0.84,-7.69501,1,1
174,1214,0,35,-0.320582,-8.7,1,1
353,1214,0,35,-0.320582,-8.7,1,1
2,1214,0,36,0.282796,-9.82,1,1
355,1214,0,36,0.271629,-9.8,1,1
171,1215,0,8,-2.84,-6.04138,1,1
336,1215,0,8,-2.84,-6.04138,1,1
161,1215,0,33,-0.84,-6.13801,1,1
168,1215,0,33,-0.84,-6.13801,1,1
162,1215,0,34,-0.248536,-7.04,1,1
173,1215,0,34,-0.248536,-7.04,1,1
174,1215,0,35,0.679418,-8.7,1,1
353,1215,0,35,0.679418,-8.7,1,1
2,1215,0,36,1.2828,-9.82,1,1
355,1215,0,36,1.27163,-9.8,1,1
171,1216,0,7,-2.84,-6.6646,1,1
336,1216,0,7,-2.84,-6.6646,1,1
161,1216,0,9,-0.84,-5.38399,1,1
168,1216,0,9,-0.84,-5.38399,1,1
162,1216,0,34,0.751464,-7.04,1,1
173,1216,0,34,0.751464,-7.04,1,1
174,1216,0,35,1.67942,-8.7,1,1
353,1216,0,35,1.67942,-8.7,1,1
2,1216,0,36,2.2828,-9.82,1,1
355,1216,0,36,2.27163,-9.8,1,1
161,1217,0,8,-0.84,-6.04138,1,1
168,1217,0,8,-0.84,-6.04138,1,1
162,1217,0,34,1.75146,-7.04,1,1
173,1217,0,34,1.75146,-7.04,1,1
174,1217,0,35,2.67942,-8.7,1,1
353,1217,0,35,2.67942,-8.7,1,1
2,1217,0,36,3.2828,-9.82,1,1
355,1217,0,36,3.27163,-9.8,1,1
161,1218,0,7,-0.84,-6.6646,1,1
168,1218,0,7,-0.84,-6.6646,1,1
158,1218,0,32,1.94,-5.78071,1,1
166,1218,0,32,1.94,-5.78071,1,1
167,1218,0,34,2.75146,-7.04,1,1
173,1218,0,34,2.75146,-7.04,1,1
175,1218,0,35,3.44,-8.21105,1,1
347,1218,0,35,3.44,-8.21105,1,1
2,1218,0,36,4.2828,-9.82,1,1
351,1218,0,36,4.2828,-9.82,1,1
162,1219,0,6,-0.305183,-7.04,1,1
173,1219,0,6,-0.305183,-7.04,1,1
158,1219,0,9,1.94,-5.53221,1,1
166,1219,0,9,1.94,-5.53221,1,1
163,1219,0,33,3.44,-6.55909,1,1
347,1219,0,33,3.44,-6.55909,1,1
2,1219,0,36,5.2828,-9.82,1,1
351,1219,0,36,5.2828,-9.82,1,1
162,1220,0,6,0.694817,-7.04,1,1
173,1220,0,6,0.694817,-7.04,1,1
158,1220,0,8,1.94,-6.1737,1,1
166,1220,0,8,1.94,-6.1737,1,1
163,1220,0,10,3.44,-5.27457,1,1
347,1220,0,10,3.44,-5.27456,1,1
2,1220,0,36,6.2828,-9.82,1,1
351,1220,0,36,6.2828,-9.82,1,1
162,1221,0,6,1.69482,-7.04,1,1
173,1221,0,6,1.69482,-7.04,1,1
158,1221,0,7,1.94,-6.8103,1,1
166,1221,0,7,1.94,-6.8103,1,1
163,1221,0,9,3.44,-5.86907,1,1
347,1221,0,9,3.44,-5.86907,1,1
2,1221,0,36,7.2828,-9.82,1,1
351,1221,0,36,7.2828,-9.82,1,1
167,1222,0,6,2.69482,-7.04,1,1
173,1222,0,6,2.69482,-7.04,1,1
