"idx","x","z"
1032,-19.448,-9.3
1033,-18.448,-9.3
1034,-17.448,-9.3
1035,-16.448,-9.3
1036,-15.448,-9.3
1037,-14.448,-9.3
1038,-13.448,-9.3
1039,-12.448,-9.3
1040,-11.448,-9.3
1041,-10.448,-9.3
1042,-9.448,-9.3
1043,-8.448,-9.3
1044,-7.448,-9.3
1045,-6.448,-9.3
1046,-5.448,-9.3
1047,-4.448,-9.3
1048,-3.448,-9.3
1049,-2.448,-9.3
1050,-1.448,-9.3
1051,-0.448,-9.3
1052,0.552,-9.3
1053,1.552,-9.3
1054,2.552,-9.3
1055,3.552,-9.3
1056,4.552,-9.3
1057,5.552,-9.3
1058,6.552,-9.3
1059,7.552,-9.3
1060,8.552,-9.3
1061,9.552,-9.3
1062,10.552,-9.3
1063,11.552,-9.3
1115,-20.448,-8.3
1116,-19.448,-8.3
1117,-18.448,-8.3
1118,-17.448,-8.3
1119,-16.448,-8.3
1120,-15.448,-8.3
1121,-14.448,-8.3
1122,-13.448,-8.3
1123,-12.448,-8.3
1124,-11.448,-8.3
1125,-10.448,-8.3
1126,-9.448,-8.3
1127,-8.448,-8.3
1128,-7.448,-8.3
1129,-6.448,-8.3
1130,-5.448,-8.3
1131,-4.448,-8.3
1132,-3.448,-8.3
1133,-2.448,-8.3
1134,-1.448,-8.3
1135,-0.448,-8.3
1136,0.552,-8.3
1137,1.552,-8.3
1138,2.552,-8.3
1139,3.552,-8.3
1140,4.552,-8.3
1141,5.552,-8.3
1142,6.552,-8.3
1143,7.552,-8.3
1144,8.552,-8.3
1145,9.552,-8.3
1146,10.552,-8.3
1147,11.552,-8.3
1199,-20.448,-7.3
1200,-19.448,-7.3
1201,-18.448,-7.3
1202,-17.448,-7.3
1203,-16.448,-7.3
1204,-15.448,-7.3
1205,-14.448,-7.3
1206,-13.448,-7.3
1207,-12.448,-7.3
1208,-11.448,-7.3
1209,-10.448,-7.3
1210,-9.448,-7.3
1211,-8.448,-7.3
1212,-7.448,-7.3
1213,-6.448,-7.3
1214,-5.448,-7.3
1215,-4.448,-7.3
1216,-3.448,-7.3
1217,-2.448,-7.3
1218,-1.448,-7.3
1219,-0.448,-7.3
1220,0.552,-7.3
1221,1.552,-7.3
1222,2.552,-7.3
1223,3.552,-7.3
1224,4.552,-7.3
1225,5.552,-7.3
1226,6.552,-7.3
1227,7.552,-7.3
1228,8.552,-7.3
1229,9.552,-7.3
1230,10.552,-7.3
1231,11.552,-7.3
1282,-21.448,-6.3
1283,-20.448,-6.3
1284,-19.448,-6.3
1285,-18.448,-6.3
1286,-17.448,-6.3
1287,-16.448,-6.3
1288,-15.448,-6.3
1289,-14.448,-6.3
1290,-13.448,-6.3
1291,-12.448,-6.3
1292,-11.448,-6.3
1293,-10.448,-6.3
1294,-9.448,-6.3
1295,-8.448,-6.3
1296,-7.448,-6.3
1297,-6.448,-6.3
1298,-5.448,-6.3
1299,-4.448,-6.3
1300,-3.448,-6.3
1301,-2.448,-6.3
1302,-1.448,-6.3
1303,-0.448,-6.3
1304,0.552,-6.3
1305,1.552,-6.3
1306,2.552,-6.3
1307,3.552,-6.3
1308,4.552,-6.3
1309,5.552,-6.3
1310,6.552,-6.3
1311,7.552,-6.3
1312,8.552,-6.3
1313,9.552,-6.3
1314,10.552,-6.3
1315,11.552,-6.3
1327,23.552,-6.3
1328,24.552,-6.3
1329,25.552,-6.3
1366,-21.448,-5.3
1367,-20.448,-5.3
1368,-19.448,-5.3
1369,-18.448,-5.3
1370,-17.448,-5.3
1371,-16.448,-5.3
1372,-15.448,-5.3
1373,-14.448,-5.3
1374,-13.448,-5.3
1375,-12.448,-5.3
1376,-11.448,-5.3
1377,-10.448,-5.3
1378,-9.448,-5.3
1379,-8.448,-5.3
1380,-7.448,-5.3
1381,-6.448,-5.3
1382,-5.448,-5.3
1383,-4.448,-5.3
1384,-3.448,-5.3
1385,-2.448,-5.3
1386,-1.448,-5.3
1387,-0.448,-5.3
1388,0.552,-5.3
1389,1.552,-5.3
1390,2.552,-5.3
1391,3.552,-5.3
1392,4.552,-5.3
1393,5.552,-5.3
1394,6.552,-5.3
1395,7.552,-5.3
1396,8.552,-5.3
1397,9.552,-5.3
1398,10.552,-5.3
1399,11.552,-5.3
1411,23.552,-5.3
1412,24.552,-5.3
1413,25.552,-5.3
1414,26.552,-5.3
1415,27.552,-5.3
1416,28.552,-5.3
1417,29.552,-5.3
1449,-22.448,-4.3
1450,-21.448,-4.3
1451,-20.448,-4.3
1452,-19.448,-4.3
1453,-18.448,-4.3
1454,-17.448,-4.3
1455,-16.448,-4.3
1456,-15.448,-4.3
1457,-14.448,-4.3
1458,-13.448,-4.3
1459,-12.448,-4.3
1460,-11.448,-4.3
1461,-10.448,-4.3
1462,-9.448,-4.3
1463,-8.448,-4.3
1464,-7.448,-4.3
1465,-6.448,-4.3
1466,-5.448,-4.3
1467,-4.448,-4.3
1468,-3.448,-4.3
1469,-2.448,-4.3
1470,-1.448,-4.3
1471,-0.448,-4.3
1472,0.552,-4.3
1473,1.552,-4.3
1474,2.552,-4.3
1475,3.552,-4.3
1476,4.552,-4.3
1477,5.552,-4.3
1478,6.552,-4.3
1479,7.552,-4.3
1480,8.552,-4.3
1481,9.552,-4.3
1482,10.552,-4.3
1483,11.552,-4.3
1495,23.552,-4.3
1496,24.552,-4.3
1497,25.552,-4.3
1498,26.552,-4.3
1499,27.552,-4.3
1500,28.552,-4.3
1501,29.552,-4.3
1502,30.552,-4.3
1503,31.552,-4.3
1504,32.552,-4.3
1505,33.552,-4.3
1533,-22.448,-3.3
1534,-21.448,-3.3
1535,-20.448,-3.3
1536,-19.448,-3.3
1537,-18.448,-3.3
1538,-17.448,-3.3
1539,-16.448,-3.3
1540,-15.448,-3.3
1541,-14.448,-3.3
1542,-13.448,-3.3
1543,-12.448,-3.3
1544,-11.448,-3.3
1545,-10.448,-3.3
1546,-9.448,-3.3
1547,-8.448,-3.3
1548,-7.448,-3.3
1549,-6.448,-3.3
1550,-5.448,-3.3
1551,-4.448,-3.3
1552,-3.448,-3.3
1553,-2.448,-3.3
1554,-1.448,-3.3
1555,-0.448,-3.3
1556,0.552,-3.3
1557,1.552,-3.3
1558,2.552,-3.3
1559,3.552,-3.3
1560,4.552,-3.3
1561,5.552,-3.3
1562,6.552,-3.3
1563,7.552,-3.3
1564,8.552,-3.3
1565,9.552,-3.3
1566,10.552,-3.3
1567,11.552,-3.3
1579,23.552,-3.3
1580,24.552,-3.3
1581,25.552,-3.3
1582,26.552,-3.3
1583,27.552,-3.3
1584,28.552,-3.3
1585,29.552,-3.3
1586,30.552,-3.3
1587,31.552,-3.3
1588,32.552,-3.3
1589,33.552,-3.3
1590,34.552,-3.3
1616,-23.448,-2.3
1617,-22.448,-2.3
1618,-21.448,-2.3
1619,-20.448,-2.3
1620,-19.448,-2.3
1621,-18.448,-2.3
1622,-17.448,-2.3
1623,-16.448,-2.3
1624,-15.448,-2.3
1625,-14.448,-2.3
1626,-13.448,-2.3
1627,-12.448,-2.3
1628,-11.448,-2.3
1629,-10.448,-2.3
1630,-9.448,-2.3
1631,-8.448,-2.3
1632,-7.448,-2.3
1633,-6.448,-2.3
1634,-5.448,-2.3
1635,-4.448,-2.3
1636,-3.448,-2.3
1637,-2.448,-2.3
1638,-1.448,-2.3
1639,-0.448,-2.3
1640,0.552,-2.3
1641,1.552,-2.3
1642,2.552,-2.3
