bid,lid,aid,sid,x,z,hit1,hit2
2,1032,0,34,-14.762,-9.82,1,1
332,1032,0,34,-14.7745,-9.8,1,1
34,1032,1,36,-16.0983,-4.79,1,1
333,1032,1,36,-16.1489,-4.8,1,1
1,1032,2,7,-19.988,-9.47079,1,1
330,1032,2,7,-19.9396,-9.47289,1,1
1,1032,2,36,-22.6737,-4.48308,1,1
330,1032,2,36,-22.6664,-4.42189,1,1
332,1032,3,6,-19.43,-9.8,1,1
2,1032,3,7,-19.4351,-9.82,1,1
2,1032,4,7,-18.4821,-9.82,1,1
332,1032,4,7,-18.5072,-9.8,1,1
2,1033,0,34,-13.762,-9.82,1,1
332,1033,0,34,-13.7745,-9.8,1,1
34,1033,1,36,-15.0983,-4.79,1,1
333,1033,1,36,-15.1489,-4.8,1,1
1,1033,2,8,-20.0186,-9.414,1,1
330,1033,2,8,-19.9691,-9.41832,1,1
1,1033,2,35,-21.9054,-5.90992,1,1
330,1033,2,35,-21.8951,-5.85067,1,1
332,1033,3,6,-18.43,-9.8,1,1
2,1033,3,7,-18.4351,-9.82,1,1
2,1033,4,7,-17.4821,-9.82,1,1
332,1033,4,7,-17.5072,-9.8,1,1
2,1034,0,34,-12.762,-9.82,1,1
332,1034,0,34,-12.7745,-9.8,1,1
34,1034,1,36,-14.0983,-4.79,1,1
333,1034,1,36,-14.1489,-4.8,1,1
1,1034,2,9,-20.0588,-9.33931,1,1
330,1034,2,9,-20.0108,-9.34102,1,1
1,1034,2,33,-21.026,-7.54313,1,1
330,1034,2,33,-21.0228,-7.46639,1,1
332,1034,3,6,-17.43,-9.8,1,1
2,1034,3,7,-17.4351,-9.82,1,1
2,1034,4,7,-16.4821,-9.82,1,1
332,1034,4,7,-16.5072,-9.8,1,1
2,1035,0,34,-11.762,-9.82,1,1
332,1035,0,34,-11.7745,-9.8,1,1
34,1035,1,36,-13.0983,-4.79,1,1
333,1035,1,36,-13.1489,-4.8,1,1
1,1035,2,11,-20.1025,-9.2583,1,1
330,1035,2,11,-20.0642,-9.24211,1,1
1,1035,2,32,-20.1831,-9.10854,1,1
330,1035,2,32,-20.1715,-9.04327,1,1
33,1035,2,36,-19.5827,-3.722,1,1
331,1035,2,36,-19.5825,-3.72043,1,1
32,1035,2,38,-20.182,-1.79594,1,1
35,1035,2,38,-20.1694,-1.81048,1,1
39,1035,2,39,-20.9818,-1.18415,1,1
331,1035,2,39,-20.9328,-1.21774,1,1
332,1035,3,6,-16.43,-9.8,1,1
2,1035,3,7,-16.4351,-9.82,1,1
2,1035,4,7,-15.4821,-9.82,1,1
332,1035,4,7,-15.5072,-9.8,1,1
2,1036,0,34,-10.762,-9.82,1,1
332,1036,0,34,-10.7745,-9.8,1,1
34,1036,1,36,-12.0983,-4.79,1,1
333,1036,1,36,-12.1489,-4.8,1,1
34,1036,2,36,-18.7104,-4.79,1,1
333,1036,2,36,-18.7116,-4.8,1,1
32,1036,2,39,-19.5573,-1.47526,1,1
35,1036,2,39,-19.5387,-1.48798,1,1
332,1036,3,6,-15.43,-9.8,1,1
2,1036,3,7,-15.4351,-9.82,1,1
2,1036,4,7,-14.4821,-9.82,1,1
332,1036,4,7,-14.5072,-9.8,1,1
2,1037,0,34,-9.76204,-9.82,1,1
332,1037,0,34,-9.77452,-9.8,1,1
34,1037,1,36,-11.0983,-4.79,1,1
334,1037,1,36,-11.1489,-4.8,1,1
28,1037,1,38,-8.36,-3.25637,1,1
29,1037,1,38,-8.36,-3.25637,1,1
34,1037,2,36,-17.7104,-4.79,1,1
333,1037,2,36,-17.7116,-4.8,1,1
32,1037,2,39,-18.9854,-1.18168,1,1
35,1037,2,39,-18.9659,-1.19504,1,1
332,1037,3,6,-14.43,-9.8,1,1
2,1037,3,7,-14.4351,-9.82,1,1
2,1037,4,7,-13.4821,-9.82,1,1
332,1037,4,7,-13.5072,-9.8,1,1
2,1038,0,34,-8.76204,-9.82,1,1
332,1038,0,34,-8.77452,-9.8,1,1
34,1038,1,36,-10.0983,-4.79,1,1
334,1038,1,36,-10.1489,-4.8,1,1
28,1038,1,37,-8.36,-4.32634,1,1
29,1038,1,37,-8.36,-4.32634,1,1
34,1038,2,36,-16.7104,-4.79,1,1
333,1038,2,36,-16.7116,-4.8,1,1
332,1038,3,6,-13.43,-9.8,1,1
2,1038,3,7,-13.4351,-9.82,1,1
2,1038,4,7,-12.4821,-9.82,1,1
332,1038,4,7,-12.5072,-9.8,1,1
2,1039,0,34,-7.76204,-9.82,1,1
332,1039,0,34,-7.77452,-9.8,1,1
28,1039,1,36,-8.36,-4.64413,1,1
29,1039,1,36,-8.36,-4.64413,1,1
34,1039,1,36,-9.09826,-4.79,1,1
334,1039,1,36,-9.14887,-4.8,1,1
34,1039,2,36,-15.7104,-4.79,1,1
333,1039,2,36,-15.7116,-4.8,1,1
332,1039,3,6,-12.43,-9.8,1,1
2,1039,3,7,-12.4351,-9.82,1,1
2,1039,4,7,-11.4821,-9.82,1,1
332,1039,4,7,-11.5072,-9.8,1,1
2,1040,0,34,-6.76204,-9.82,1,1
332,1040,0,34,-6.77452,-9.8,1,1
24,1040,1,36,-8.09826,-4.79,1,1
334,1040,1,36,-8.14887,-4.8,1,1
25,1040,1,38,-5.6,-3.6528,1,1
34,1040,2,36,-14.7104,-4.79,1,1
333,1040,2,36,-14.7116,-4.8,1,1
332,1040,3,6,-11.43,-9.8,1,1
2,1040,3,7,-11.4351,-9.82,1,1
2,1040,4,7,-10.4821,-9.82,1,1
332,1040,4,7,-10.5072,-9.8,1,1
2,1041,0,34,-5.76204,-9.82,1,1
332,1041,0,34,-5.77452,-9.8,1,1
24,1041,1,36,-7.09826,-4.79,1,1
334,1041,1,36,-7.14887,-4.8,1,1
25,1041,1,37,-5.6,-4.42166,1,1
34,1041,2,36,-13.7104,-4.79,1,1
333,1041,2,36,-13.7116,-4.8,1,1
332,1041,3,6,-10.43,-9.8,1,1
2,1041,3,7,-10.4351,-9.82,1,1
2,1041,4,7,-9.48208,-9.82,1,1
332,1041,4,7,-9.50724,-9.8,1,1
2,1042,0,34,-4.76204,-9.82,1,1
332,1042,0,34,-4.77452,-9.8,1,1
24,1042,1,36,-6.09826,-4.79,1,1
25,1042,1,36,-5.6,-4.69155,1,1
334,1042,1,36,-6.14887,-4.8,1,1
34,1042,2,36,-12.7104,-4.79,1,1
333,1042,2,36,-12.7116,-4.8,1,1
332,1042,3,6,-9.43,-9.8,1,1
2,1042,3,7,-9.43512,-9.82,1,1
2,1042,4,7,-8.48208,-9.82,1,1
332,1042,4,7,-8.50724,-9.8,1,1
2,1043,0,34,-3.76204,-9.82,1,1
332,1043,0,34,-3.77452,-9.8,1,1
34,1043,2,36,-11.7104,-4.79,1,1
333,1043,2,36,-11.7116,-4.8,1,1
332,1043,3,6,-8.43,-9.8,1,1
2,1043,3,7,-8.43512,-9.82,1,1
2,1043,4,7,-7.48209,-9.82,1,1
332,1043,4,7,-7.50724,-9.8,1,1
2,1044,0,34,-2.76204,-9.82,1,1
336,1044,0,34,-2.84,-9.69501,1,1
354,1044,0,34,-2.84,-9.69501,1,1
355,1044,0,34,-2.77452,-9.8,1,1
335,1044,1,36,-4.14887,-4.8,1,1
34,1044,2,36,-10.7104,-4.79,1,1
334,1044,2,36,-10.7116,-4.8,1,1
332,1044,3,6,-7.43,-9.8,1,1
2,1044,3,7,-7.43512,-9.82,1,1
2,1044,4,7,-6.48208,-9.82,1,1
332,1044,4,7,-6.50724,-9.8,1,1
171,1045,0,33,-2.84,-8.13801,1,1
172,1045,0,33,-2.4663,-8.7,1,1
336,1045,0,33,-2.84,-8.13801,1,1
353,1045,0,33,-2.4663,-8.7,1,1
2,1045,0,34,-1.76204,-9.82,1,1
355,1045,0,34,-1.77452,-9.8,1,1
335,1045,1,36,-3.14887,-4.8,1,1
146,1045,1,39,-0,-2.03843,1,1
34,1045,2,36,-9.71045,-4.79,1,1
334,1045,2,36,-9.71165,-4.8,1,1
332,1045,3,6,-6.43,-9.8,1,1
2,1045,3,7,-6.43512,-9.82,1,1
2,1045,4,7,-5.48208,-9.82,1,1
332,1045,4,7,-5.50724,-9.8,1,1
171,1046,0,9,-2.84,-7.38399,1,1
336,1046,0,9,-2.84,-7.38399,1,1
172,1046,0,33,-1.4663,-8.7,1,1
353,1046,0,33,-1.4663,-8.7,1,1
2,1046,0,34,-0.762042,-9.82,1,1
355,1046,0,34,-0.774516,-9.8,1,1
336,1046,1,35,-2.84,-4.89993,1,1
143,1046,1,39,0.692623,-3.08,1,1
34,1046,2,36,-8.71045,-4.79,1,1
334,1046,2,36,-8.71165,-4.8,1,1
332,1046,3,6,-5.43,-9.8,1,1
2,1046,3,7,-5.43512,-9.82,1,1
2,1046,4,7,-4.48208,-9.82,1,1
332,1046,4,7,-4.50724,-9.8,1,1
171,1047,0,8,-2.84,-8.04138,1,1
336,1047,0,8,-2.84,-8.04138,1,1
168,1047,0,33,-0.84,-8.13801,1,1
174,1047,0,33,-0.466305,-8.7,1,1
353,1047,0,33,-0.466304,-8.7,1,1
2,1047,0,34,0.237958,-9.82,1,1
355,1047,0,34,0.225484,-9.8,1,1
171,1047,1,34,-2.84,-5.0872,1,1
336,1047,1,34,-2.84,-5.0872,1,1
153,1047,1,39,1.68672,-3.1,1,1
24,1047,2,36,-7.71045,-4.79,1,1
334,1047,2,36,-7.71165,-4.8,1,1
28,1047,2,39,-8.36,-1.61054,1,1
29,1047,2,39,-8.36,-1.61054,1,1
332,1047,3,6,-4.43,-9.8,1,1
2,1047,3,7,-4.43512,-9.82,1,1
2,1047,4,7,-3.48209,-9.82,1,1
332,1047,4,7,-3.50724,-9.8,1,1
171,1048,0,7,-2.84,-8.6646,1,1
336,1048,0,7,-2.84,-8.6646,1,1
168,1048,0,9,-0.84,-7.38399,1,1
174,1048,0,33,0.533696,-8.7,1,1
353,1048,0,33,0.533696,-8.7,1,1
2,1048,0,34,1.23796,-9.82,1,1
355,1048,0,34,1.22548,-9.8,1,1
171,1048,1,33,-2.84,-5.34225,1,1
336,1048,1,33,-2.84,-5.34225,1,1
161,1048,1,35,-0.84,-4.89993,1,1
169,1048,1,35,-1.12197,-4.94,1,1
153,1048,1,39,2.68672,-3.1,1,1
24,1048,2,36,-6.71045,-4.79,1,1
334,1048,2,36,-6.71165,-4.8,1,1
28,1048,2,39,-8.36,-0.924752,1,1
29,1048,2,39,-8.36,-0.924752,1,1
332,1048,3,6,-3.43,-9.8,1,1
2,1048,3,7,-3.43512,-9.82,1,1
2,1048,4,7,-2.48208,-9.82,1,1
336,1048,4,7,-2.84,-9.53547,1,1
354,1048,4,7,-2.84,-9.53547,1,1
355,1048,4,7,-2.50724,-9.8,1,1
172,1049,0,7,-1.89345,-8.7,1,1
353,1049,0,7,-1.89346,-8.7,1,1
168,1049,0,8,-0.84,-8.04138,1,1
174,1049,0,33,1.5337,-8.7,1,1
353,1049,0,33,1.5337,-8.7,1,1
2,1049,0,34,2.23796,-9.82,1,1
355,1049,0,34,2.22548,-9.8,1,1
171,1049,1,7,-2.84,-8.61337,1,1
172,1049,1,7,-2.81595,-8.7,1,1
336,1049,1,7,-2.84,-8.61337,1,1
353,1049,1,7,-2.81595,-8.7,1,1
171,1049,1,32,-2.84,-5.6075,1,1
336,1049,1,32,-2.84,-5.6075,1,1
161,1049,1,34,-0.84,-5.0872,1,1
168,1049,1,34,-0.84,-5.0872,1,1
159,1049,1,36,1.1548,-4.74,1,1
152,1049,1,39,3.74,-2.91946,1,1
153,1049,1,39,3.68672,-3.1,1,1
154,1049,1,39,3.74,-2.91946,1,1
336,1049,2,6,-2.84,-9.45414,1,1
354,1049,2,6,-2.84,-9.45414,1,1
24,1049,2,36,-5.71045,-4.79,1,1
25,1049,2,36,-5.6,-3.86695,1,1
334,1049,2,36,-5.71165,-4.8,1,1
25,1049,2,37,-5.6,-3.0171,1,1
355,1049,3,6,-2.43,-9.8,1,1
2,1049,3,7,-2.43512,-9.82,1,1
2,1049,4,7,-1.48209,-9.82,1,1
355,1049,4,7,-1.50724,-9.8,1,1
168,1050,0,7,-0.84,-8.6646,1,1
172,1050,0,7,-0.893454,-8.7,1,1
353,1050,0,7,-0.893455,-8.7,1,1
174,1050,0,33,2.5337,-8.7,1,1
353,1050,0,33,2.5337,-8.7,1,1
2,1050,0,34,3.23796,-9.82,1,1
355,1050,0,34,3.22548,-9.8,1,1
172,1050,1,7,-1.81595,-8.7,1,1
353,1050,1,7,-1.81595,-8.7,1,1
161,1050,1,33,-0.84,-5.34225,1,1
168,1050,1,33,-0.84,-5.34225,1,1
158,1050,1,36,1.94,-4.78244,1,1
147,1050,1,39,4.69262,-3.08,1,1
336,1050,2,8,-2.84,-9.42955,1,1
354,1050,2,8,-2.84,-9.42955,1,1
25,1050,2,39,-5.6,-1.44595,1,1
355,1050,3,6,-1.43,-9.8,1,1
2,1050,3,7,-1.43512,-9.82,1,1
2,1050,4,7,-0.482086,-9.82,1,1
355,1050,4,7,-0.507244,-9.8,1,1
174,1051,0,7,0.106546,-8.7,1,1
353,1051,0,7,0.106545,-8.7,1,1
175,1051,0,33,3.44,-8.55909,1,1
347,1051,0,33,3.44,-8.5591,1,1
2,1051,0,34,4.23796,-9.82,1,1
351,1051,0,34,4.23796,-9.82,1,1
168,1051,1,7,-0.84,-8.61337,1,1
174,1051,1,7,-0.81595,-8.7,1,1
353,1051,1,7,-0.81595,-8.7,1,1
161,1051,1,32,-0.84,-5.6075,1,1
168,1051,1,32,-0.84,-5.6075,1,1
158,1051,1,35,1.94,-4.93119,1,1
166,1051,1,35,1.94,-4.93119,1,1
336,1051,2,9,-2.84,-9.34707,1,1
354,1051,2,9,-2.84,-9.34707,1,1
335,1051,2,36,-3.71165,-4.8,1,1
355,1051,3,6,-0.429995,-9.8,1,1
2,1051,3,7,-0.435123,-9.82,1,1
2,1051,4,7,0.517914,-9.82,1,1
355,1051,4,7,0.492755,-9.8,1,1
174,1052,0,7,1.10655,-8.7,1,1
353,1052,0,7,1.10654,-8.7,1,1
175,1052,0,10,3.44,-7.27456,1,1
347,1052,0,10,3.44,-7.27457,1,1
2,1052,0,34,5.23796,-9.82,1,1
351,1052,0,34,5.23796,-9.82,1,1
174,1052,1,7,0.18405,-8.7,1,1
353,1052,1,7,0.18405,-8.7,1,1
162,1052,1,9,-0.231828,-7.04,1,1
173,1052,1,9,-0.231828,-7.04,1,1
158,1052,1,34,1.94,-5.14186,1,1
166,1052,1,34,1.94,-5.14186,1,1
163,1052,1,35,3.44,-4.86013,1,1
347,1052,1,35,3.44,-4.86013,1,1
348,1052,1,35,3.44091,-4.86,1,1
336,1052,2,10,-2.84,-9.28984,1,1
354,1052,2,10,-2.84,-9.28984,1,1
170,1052,2,35,-2.73595,-4.94,1,1
171,1052,2,35,-2.84,-5.53547,1,1
336,1052,2,35,-2.84,-5.53547,1,1
355,1052,3,6,0.570004,-9.8,1,1
2,1052,3,7,0.564877,-9.82,1,1
2,1052,4,7,1.51791,-9.82,1,1
355,1052,4,7,1.49276,-9.8,1,1
174,1053,0,7,2.10655,-8.7,1,1
353,1053,0,7,2.10655,-8.7,1,1
175,1053,0,9,3.44,-7.86908,1,1
347,1053,0,9,3.44,-7.86907,1,1
2,1053,0,34,6.23796,-9.82,1,1
351,1053,0,34,6.23796,-9.82,1,1
174,1053,1,7,1.18405,-8.7,1,1
353,1053,1,7,1.18405,-8.7,1,1
162,1053,1,9,0.768173,-7.04,1,1
173,1053,1,9,0.768173,-7.04,1,1
158,1053,1,33,1.94,-5.40377,1,1
166,1053,1,33,1.94,-5.40377,1,1
163,1053,1,34,3.44,-5.01764,1,1
347,1053,1,34,3.44,-5.01764,1,1
348,1053,1,35,4.44091,-4.86,1,1
186,1053,1,37,7.08,-4.15159,1,1
172,1053,2,32,-2.11072,-8.7,1,1
353,1053,2,32,-2.11072,-8.7,1,1
355,1053,3,6,1.57,-9.8,1,1
2,1053,3,7,1.56488,-9.82,1,1
2,1053,4,7,2.51792,-9.82,1,1
355,1053,4,7,2.49276,-9.8,1,1
174,1054,0,7,3.10654,-8.7,1,1
175,1054,0,7,3.44,-8.47915,1,1
347,1054,0,7,3.44,-8.47915,1,1
353,1054,0,7,3.10654,-8.7,1,1
2,1054,0,34,7.23796,-9.82,1,1
