bid,lid,aid,sid,x,z,hit1,hit2
332,948,0,4,-19.4598,-9.8,1,1
2,948,0,34,-15.0739,-9.82,1,1
332,948,0,34,-15.0864,-9.8,1,1
332,948,1,1,-19.448,-9.8,1,1
332,948,1,2,-19.4419,-9.8,1,1
332,948,1,5,-19.4659,-9.8,1,1
34,948,1,39,-12.0386,-4.79,1,1
333,948,1,39,-12.044,-4.8,1,1
332,948,2,1,-19.448,-9.8,1,1
332,948,2,3,-19.4395,-9.8,1,1
2,948,2,5,-19.5352,-9.82,1,1
1,948,2,6,-19.815,-9.79218,1,1
2,948,2,6,-19.6764,-9.82,1,1
1,948,2,34,-21.7362,-6.22424,1,1
330,948,2,34,-21.7149,-6.18435,1,1
33,948,2,37,-19.9081,-3.14531,1,1
331,948,2,37,-19.9018,-3.1285,1,1
32,948,2,38,-19.7605,-1.57961,1,1
35,948,2,38,-19.7548,-1.5985,1,1
332,948,3,4,-19.4362,-9.8,1,1
2,948,3,5,-19.4413,-9.82,1,1
332,948,4,2,-19.4541,-9.8,1,1
2,948,4,5,-19.417,-9.82,1,1
332,948,4,5,-19.4301,-9.8,1,1
332,948,5,1,-19.448,-9.8,1,1
332,948,5,3,-19.4565,-9.8,1,1
2,948,5,6,-19.0204,-9.82,1,1
332,948,5,6,-19.12,-9.8,1,1
332,950,0,4,-17.4598,-9.8,1,1
2,950,0,34,-13.0739,-9.82,1,1
332,950,0,34,-13.0864,-9.8,1,1
332,950,1,1,-17.448,-9.8,1,1
332,950,1,2,-17.4419,-9.8,1,1
332,950,1,5,-17.4659,-9.8,1,1
34,950,1,39,-10.0386,-4.79,1,1
334,950,1,39,-10.044,-4.8,1,1
332,950,2,1,-17.448,-9.8,1,1
332,950,2,3,-17.4395,-9.8,1,1
2,950,2,5,-17.5352,-9.82,1,1
2,950,2,6,-17.6764,-9.82,1,1
332,950,2,6,-17.776,-9.8,1,1
330,950,2,9,-20.4844,-8.46372,1,1
1,950,2,10,-20.5759,-8.37912,1,1
1,950,2,32,-20.7493,-8.05703,1,1
330,950,2,32,-20.7241,-8.01974,1,1
34,950,2,35,-18.887,-4.79,1,1
333,950,2,35,-18.8937,-4.8,1,1
32,950,2,39,-18.1569,-0.756423,1,1
35,950,2,39,-18.1453,-0.775418,1,1
332,950,3,4,-17.4362,-9.8,1,1
2,950,3,5,-17.4413,-9.82,1,1
332,950,4,1,-17.448,-9.8,1,1
332,950,4,2,-17.4541,-9.8,1,1
2,950,4,5,-17.417,-9.82,1,1
332,950,4,5,-17.4301,-9.8,1,1
332,950,5,1,-17.448,-9.8,1,1
332,950,5,3,-17.4565,-9.8,1,1
2,950,5,6,-17.0204,-9.82,1,1
332,950,5,6,-17.12,-9.8,1,1
332,952,0,4,-15.4598,-9.8,1,1
2,952,0,34,-11.0739,-9.82,1,1
332,952,0,34,-11.0864,-9.8,1,1
332,952,1,1,-15.448,-9.8,1,1
332,952,1,2,-15.4419,-9.8,1,1
332,952,1,5,-15.4659,-9.8,1,1
24,952,1,39,-8.0386,-4.79,1,1
334,952,1,39,-8.04402,-4.8,1,1
332,952,2,1,-15.448,-9.8,1,1
332,952,2,3,-15.4395,-9.8,1,1
2,952,2,5,-15.5352,-9.82,1,1
2,952,2,6,-15.6764,-9.82,1,1
332,952,2,6,-15.776,-9.8,1,1
34,952,2,35,-16.887,-4.79,1,1
333,952,2,35,-16.8937,-4.8,1,1
332,952,3,1,-15.448,-9.8,1,1
332,952,3,4,-15.4362,-9.8,1,1
2,952,3,5,-15.4413,-9.82,1,1
1,952,3,34,-19.818,-9.78664,1,1
2,952,3,34,-19.7972,-9.82,1,1
1,952,3,35,-20.6838,-8.17863,1,1
1,952,3,36,-20.8669,-7.83849,1,1
332,952,4,1,-15.448,-9.8,1,1
332,952,4,2,-15.4541,-9.8,1,1
2,952,4,5,-15.417,-9.82,1,1
332,952,4,5,-15.4301,-9.8,1,1
332,952,5,3,-15.4565,-9.8,1,1
2,952,5,6,-15.0204,-9.82,1,1
332,952,5,6,-15.12,-9.8,1,1
332,954,0,4,-13.4598,-9.8,1,1
2,954,0,34,-9.0739,-9.82,1,1
332,954,0,34,-9.08637,-9.8,1,1
332,954,1,1,-13.448,-9.8,1,1
332,954,1,2,-13.4419,-9.8,1,1
332,954,1,5,-13.4659,-9.8,1,1
24,954,1,39,-6.0386,-4.79,1,1
334,954,1,39,-6.04402,-4.8,1,1
332,954,2,1,-13.448,-9.8,1,1
332,954,2,3,-13.4395,-9.8,1,1
2,954,2,5,-13.5352,-9.82,1,1
2,954,2,6,-13.6764,-9.82,1,1
332,954,2,6,-13.776,-9.8,1,1
34,954,2,35,-14.887,-4.79,1,1
333,954,2,35,-14.8937,-4.8,1,1
332,954,3,1,-13.448,-9.8,1,1
332,954,3,4,-13.4362,-9.8,1,1
2,954,3,5,-13.4413,-9.82,1,1
2,954,3,34,-17.7972,-9.82,1,1
332,954,3,34,-17.8096,-9.8,1,1
1,954,3,39,-21.9109,-5.89968,1,1
330,954,3,39,-21.8692,-5.89855,1,1
332,954,4,1,-13.448,-9.8,1,1
332,954,4,2,-13.4541,-9.8,1,1
2,954,4,5,-13.417,-9.82,1,1
332,954,4,5,-13.4301,-9.8,1,1
332,954,5,3,-13.4565,-9.8,1,1
2,954,5,6,-13.0204,-9.82,1,1
332,954,5,6,-13.12,-9.8,1,1
332,956,0,4,-11.4598,-9.8,1,1
2,956,0,34,-7.0739,-9.82,1,1
332,956,0,34,-7.08637,-9.8,1,1
332,956,1,1,-11.448,-9.8,1,1
332,956,1,2,-11.4419,-9.8,1,1
332,956,1,5,-11.4659,-9.8,1,1
335,956,1,39,-4.04402,-4.8,1,1
332,956,2,1,-11.448,-9.8,1,1
332,956,2,3,-11.4395,-9.8,1,1
2,956,2,5,-11.5352,-9.82,1,1
2,956,2,6,-11.6764,-9.82,1,1
332,956,2,6,-11.776,-9.8,1,1
34,956,2,35,-12.887,-4.79,1,1
333,956,2,35,-12.8937,-4.8,1,1
332,956,3,4,-11.4362,-9.8,1,1
2,956,3,5,-11.4413,-9.82,1,1
2,956,3,34,-15.7972,-9.82,1,1
332,956,3,34,-15.8096,-9.8,1,1
332,956,4,2,-11.4541,-9.8,1,1
2,956,4,5,-11.417,-9.82,1,1
332,956,4,5,-11.4301,-9.8,1,1
332,956,5,1,-11.448,-9.8,1,1
332,956,5,3,-11.4565,-9.8,1,1
2,956,5,6,-11.0204,-9.82,1,1
332,956,5,6,-11.12,-9.8,1,1
332,958,0,4,-9.45975,-9.8,1,1
2,958,0,34,-5.0739,-9.82,1,1
332,958,0,34,-5.08637,-9.8,1,1
332,958,1,1,-9.44798,-9.8,1,1
332,958,1,2,-9.44187,-9.8,1,1
332,958,1,5,-9.46589,-9.8,1,1
171,958,1,38,-2.84,-5.79707,1,1
336,958,1,38,-2.84,-5.79707,1,1
332,958,2,1,-9.448,-9.8,1,1
332,958,2,3,-9.43946,-9.8,1,1
2,958,2,5,-9.53518,-9.82,1,1
2,958,2,6,-9.67644,-9.82,1,1
332,958,2,6,-9.77604,-9.8,1,1
34,958,2,35,-10.887,-4.79,1,1
334,958,2,35,-10.8937,-4.8,1,1
332,958,3,4,-9.43624,-9.8,1,1
2,958,3,5,-9.44132,-9.82,1,1
2,958,3,34,-13.7972,-9.82,1,1
332,958,3,34,-13.8096,-9.8,1,1
332,958,4,2,-9.45413,-9.8,1,1
2,958,4,5,-9.41697,-9.82,1,1
332,958,4,5,-9.43011,-9.8,1,1
332,958,5,1,-9.448,-9.8,1,1
332,958,5,3,-9.45654,-9.8,1,1
2,958,5,6,-9.02037,-9.82,1,1
332,958,5,6,-9.11997,-9.8,1,1
332,960,0,4,-7.45975,-9.8,1,1
2,960,0,34,-3.0739,-9.82,1,1
332,960,0,34,-3.08637,-9.8,1,1
332,960,1,1,-7.44799,-9.8,1,1
332,960,1,2,-7.44187,-9.8,1,1
332,960,1,5,-7.46589,-9.8,1,1
171,960,1,36,-2.84,-6.09066,1,1
336,960,1,36,-2.84,-6.09066,1,1
161,960,1,38,-0.84,-5.79707,1,1
168,960,1,38,-0.84,-5.79707,1,1
160,960,1,39,-0.0115187,-4.74,1,1
332,960,2,1,-7.448,-9.8,1,1
332,960,2,3,-7.43946,-9.8,1,1
2,960,2,5,-7.53518,-9.82,1,1
2,960,2,6,-7.67644,-9.82,1,1
332,960,2,6,-7.77603,-9.8,1,1
34,960,2,35,-8.88698,-4.79,1,1
334,960,2,35,-8.89371,-4.8,1,1
28,960,2,36,-8.36,-3.96076,1,1
29,960,2,36,-8.36,-3.96076,1,1
28,960,2,39,-8.36,-0.425794,1,1
29,960,2,39,-8.36,-0.425794,1,1
332,960,3,4,-7.43624,-9.8,1,1
2,960,3,5,-7.44132,-9.82,1,1
2,960,3,34,-11.7972,-9.82,1,1
332,960,3,34,-11.8096,-9.8,1,1
332,960,4,2,-7.45413,-9.8,1,1
2,960,4,5,-7.41697,-9.82,1,1
332,960,4,5,-7.43011,-9.8,1,1
332,960,5,1,-7.448,-9.8,1,1
332,960,5,3,-7.45654,-9.8,1,1
2,960,5,6,-7.02037,-9.82,1,1
332,960,5,6,-7.11997,-9.8,1,1
332,962,0,4,-5.45975,-9.8,1,1
171,962,0,9,-2.84,-7.88399,1,1
336,962,0,9,-2.84,-7.88399,1,1
172,962,0,33,-1.79878,-8.7,1,1
353,962,0,33,-1.79878,-8.7,1,1
2,962,0,34,-1.0739,-9.82,1,1
355,962,0,34,-1.08637,-9.8,1,1
332,962,1,1,-5.44799,-9.8,1,1
332,962,1,2,-5.44187,-9.8,1,1
332,962,1,5,-5.46589,-9.8,1,1
171,962,1,34,-2.84,-6.00816,1,1
336,962,1,34,-2.84,-6.00816,1,1
161,962,1,36,-0.84,-6.09066,1,1
168,962,1,36,-0.84,-6.09066,1,1
158,962,1,39,1.94,-4.82951,1,1
165,962,1,39,1.94515,-4.82,1,1
166,962,1,39,1.94,-4.82951,1,1
332,962,2,1,-5.448,-9.8,1,1
332,962,2,3,-5.43946,-9.8,1,1
2,962,2,5,-5.53518,-9.82,1,1
2,962,2,6,-5.67644,-9.82,1,1
332,962,2,6,-5.77603,-9.8,1,1
24,962,2,35,-6.88698,-4.79,1,1
334,962,2,35,-6.89371,-4.8,1,1
25,962,2,37,-5.6,-2.31422,1,1
25,962,2,38,-5.6,-2.11105,1,1
332,962,3,4,-5.43624,-9.8,1,1
2,962,3,5,-5.44132,-9.82,1,1
2,962,3,34,-9.79715,-9.82,1,1
332,962,3,34,-9.80963,-9.8,1,1
332,962,4,2,-5.45413,-9.8,1,1
2,962,4,5,-5.41697,-9.82,1,1
332,962,4,5,-5.43011,-9.8,1,1
332,962,5,1,-5.448,-9.8,1,1
332,962,5,3,-5.45654,-9.8,1,1
2,962,5,6,-5.02037,-9.82,1,1
332,962,5,6,-5.11997,-9.8,1,1
332,964,0,4,-3.45975,-9.8,1,1
336,964,0,7,-2.84,-9.1646,1,1
354,964,0,7,-2.84,-9.1646,1,1
172,964,0,8,-2.10372,-8.7,1,1
353,964,0,8,-2.10372,-8.7,1,1
168,964,0,9,-0.84,-7.88399,1,1
174,964,0,33,0.201218,-8.7,1,1
353,964,0,33,0.201218,-8.7,1,1
2,964,0,34,0.926103,-9.82,1,1
355,964,0,34,0.913629,-9.8,1,1
332,964,1,1,-3.44801,-9.8,1,1
332,964,1,2,-3.44187,-9.8,1,1
332,964,1,5,-3.46589,-9.8,1,1
171,964,1,33,-2.84,-6.1064,1,1
336,964,1,33,-2.84,-6.1064,1,1
161,964,1,34,-0.84,-6.00816,1,1
168,964,1,34,-0.84,-6.00816,1,1
158,964,1,37,1.94,-6.09892,1,1
166,964,1,37,1.94,-6.09892,1,1
163,964,1,38,3.44,-5.49881,1,1
347,964,1,38,3.44,-5.49881,1,1
348,964,1,39,3.92348,-4.86,1,1
332,964,2,1,-3.448,-9.8,1,1
332,964,2,3,-3.43946,-9.8,1,1
2,964,2,5,-3.53518,-9.82,1,1
2,964,2,6,-3.67643,-9.82,1,1
332,964,2,6,-3.77603,-9.8,1,1
332,964,3,1,-3.448,-9.8,1,1
332,964,3,4,-3.43624,-9.8,1,1
2,964,3,5,-3.44132,-9.82,1,1
2,964,3,34,-7.79715,-9.82,1,1
332,964,3,34,-7.80963,-9.8,1,1
332,964,4,1,-3.44801,-9.8,1,1
332,964,4,2,-3.45413,-9.8,1,1
2,964,4,5,-3.41697,-9.82,1,1
332,964,4,5,-3.43011,-9.8,1,1
332,964,5,1,-3.448,-9.8,1,1
332,964,5,3,-3.45654,-9.8,1,1
2,964,5,6,-3.02037,-9.82,1,1
332,964,5,6,-3.11997,-9.8,1,1
355,966,0,1,-1.448,-9.8,1,1
355,966,0,4,-1.45975,-9.8,1,1
174,966,0,8,-0.103724,-8.7,1,1
353,966,0,8,-0.103724,-8.7,1,1
174,966,0,33,2.20122,-8.7,1,1
353,966,0,33,2.20122,-8.7,1,1
2,966,0,34,2.9261,-9.82,1,1
355,966,0,34,2.91363,-9.8,1,1
355,966,1,1,-1.44796,-9.8,1,1
355,966,1,2,-1.44187,-9.8,1,1
355,966,1,5,-1.46589,-9.8,1,1
172,966,1,7,-1.70999,-8.7,1,1
353,966,1,7,-1.70999,-8.7,1,1
161,966,1,33,-0.84,-6.1064,1,1
168,966,1,33,-0.84,-6.1064,1,1
158,966,1,35,1.94,-6.03299,1,1
166,966,1,35,1.94,-6.03299,1,1
163,966,1,36,3.44,-6.09469,1,1
347,966,1,36,3.44,-6.09469,1,1
348,966,1,39,5.92348,-4.86,1,1
355,966,2,1,-1.448,-9.8,1,1
355,966,2,3,-1.43946,-9.8,1,1
2,966,2,5,-1.53517,-9.82,1,1
2,966,2,6,-1.67643,-9.82,1,1
355,966,2,6,-1.77603,-9.8,1,1
336,966,2,8,-2.84,-9.31471,1,1
354,966,2,8,-2.84,-9.31471,1,1
335,966,2,35,-2.89371,-4.8,1,1
355,966,3,1,-1.448,-9.8,1,1
355,966,3,4,-1.43624,-9.8,1,1
2,966,3,5,-1.44132,-9.82,1,1
2,966,3,34,-5.79715,-9.82,1,1
332,966,3,34,-5.80963,-9.8,1,1
355,966,4,2,-1.45413,-9.8,1,1
2,966,4,5,-1.41697,-9.82,1,1
355,966,4,5,-1.43011,-9.8,1,1
355,966,5,3,-1.45654,-9.8,1,1
2,966,5,6,-1.02037,-9.82,1,1
355,966,5,6,-1.11997,-9.8,1,1
355,968,0,1,0.551999,-9.8,1,1
355,968,0,4,0.540245,-9.8,1,1
174,968,0,8,1.89628,-8.7,1,1
353,968,0,8,1.89628,-8.7,1,1
175,968,0,10,3.44,-7.77457,1,1
347,968,0,10,3.44,-7.77457,1,1
2,968,0,34,4.9261,-9.82,1,1
351,968,0,34,4.9261,-9.82,1,1
355,968,1,1,0.552043,-9.8,1,1
355,968,1,2,0.558133,-9.8,1,1
355,968,1,5,0.534107,-9.8,1,1
174,968,1,7,0.290009,-8.7,1,1
353,968,1,7,0.290009,-8.7,1,1
162,968,1,9,0.228367,-7.04,1,1
173,968,1,9,0.228367,-7.04,1,1
158,968,1,33,1.94,-6.05702,1,1
166,968,1,33,1.94,-6.05702,1,1
163,968,1,35,3.44,-5.99881,1,1
347,968,1,35,3.44,-5.99881,1,1
182,968,1,39,7.92348,-4.86,1,1
348,968,1,39,7.92348,-4.86,1,1
355,968,2,1,0.552001,-9.8,1,1
355,968,2,3,0.560538,-9.8,1,1
2,968,2,5,0.46483,-9.82,1,1
2,968,2,6,0.323567,-9.82,1,1
355,968,2,6,0.223962,-9.8,1,1
172,968,2,9,-2.00061,-8.7,1,1
353,968,2,9,-2.00061,-8.7,1,1
171,968,2,13,-2.84,-8.24202,1,1
336,968,2,13,-2.84,-8.24202,1,1
171,968,2,18,-2.84,-8.32438,1,1
336,968,2,18,-2.84,-8.32438,1,1
171,968,2,21,-2.84,-8.22054,1,1
336,968,2,21,-2.84,-8.22054,1,1
171,968,2,25,-2.84,-8.19144,1,1
336,968,2,25,-2.84,-8.19144,1,1
169,968,2,35,-0.987823,-4.94,1,1
143,968,2,37,0.116136,-3.08,1,1
146,968,2,39,-0,-1.01192,1,1
355,968,3,1,0.551999,-9.8,1,1
355,968,3,4,0.563755,-9.8,1,1
2,968,3,5,0.55868,-9.82,1,1
2,968,3,34,-3.79715,-9.82,1,1
332,968,3,34,-3.80963,-9.8,1,1
355,968,4,2,0.545867,-9.8,1,1
2,968,4,5,0.583027,-9.82,1,1
355,968,4,5,0.569892,-9.8,1,1
355,968,5,3,0.543462,-9.8,1,1
2,968,5,6,0.979633,-9.82,1,1
355,968,5,6,0.880029,-9.8,1,1
355,970,0,1,2.552,-9.8,1,1
355,970,0,4,2.54024,-9.8,1,1
347,970,0,7,3.44,-8.97915,1,1
352,970,0,7,3.44,-8.97915,1,1
2,970,0,34,6.9261,-9.82,1,1
351,970,0,34,6.9261,-9.82,1,1
355,970,1,1,2.55204,-9.8,1,1
355,970,1,2,2.55813,-9.8,1,1
355,970,1,5,2.53411,-9.8,1,1
174,970,1,7,2.29001,-8.7,1,1
353,970,1,7,2.29001,-8.7,1,1
167,970,1,9,2.22837,-7.04,1,1
173,970,1,9,2.22837,-7.04,1,1
163,970,1,33,3.44,-6.08867,1,1
347,970,1,33,3.44,-6.08867,1,1
355,970,2,1,2.552,-9.8,1,1
355,970,2,3,2.56054,-9.8,1,1
2,970,2,5,2.46483,-9.82,1,1
2,970,2,6,2.32357,-9.82,1,1
355,970,2,6,2.22396,-9.8,1,1
174,970,2,9,-0.00060796,-8.7,1,1
353,970,2,9,-0.000607973,-8.7,1,1
168,970,2,13,-0.84,-8.24202,1,1
168,970,2,18,-0.84,-8.32438,1,1
168,970,2,21,-0.84,-8.22054,1,1
168,970,2,25,-0.84,-8.19144,1,1
162,970,2,33,-0.151005,-7.04,1,1
