"idx","x","z"
948,-19.448,-9.8
950,-17.448,-9.8
952,-15.448,-9.8
954,-13.448,-9.8
956,-11.448,-9.8
958,-9.448,-9.8
960,-7.448,-9.8
962,-5.448,-9.8
964,-3.448,-9.8
966,-1.448,-9.8
968,0.552,-9.8
970,2.552,-9.8
972,4.552,-9.8
974,6.552,-9.8
976,8.552,-9.8
978,10.552,-9.8
1032,-19.448,-8.8
1033,-18.448,-9.3
1034,-17.448,-8.8
1035,-16.448,-9.3
1036,-15.448,-8.8
1037,-14.448,-9.3
1038,-13.448,-8.8
1039,-12.448,-9.3
1040,-11.448,-8.8
1041,-10.448,-9.3
1042,-9.448,-8.8
1043,-8.448,-9.3
1044,-7.448,-8.8
1045,-6.448,-9.3
1046,-5.448,-8.8
1047,-4.448,-9.3
1048,-3.448,-8.8
1049,-2.448,-9.3
1050,-1.448,-8.8
1051,-0.448,-9.3
1052,0.552,-8.8
1053,1.552,-9.3
1054,2.552,-8.8
1055,3.552,-9.3
1056,4.552,-8.8
1057,5.552,-9.3
1058,6.552,-8.8
1059,7.552,-9.3
1060,8.552,-8.8
1061,9.552,-9.3
1062,10.552,-8.8
1063,11.552,-9.3
1115,-20.448,-8.3
1116,-19.448,-7.8
1117,-18.448,-8.3
1118,-17.448,-7.8
1119,-16.448,-8.3
1120,-15.448,-7.8
1121,-14.448,-8.3
1122,-13.448,-7.8
1123,-12.448,-8.3
1124,-11.448,-7.8
1125,-10.448,-8.3
1126,-9.448,-7.8
1127,-8.448,-8.3
1128,-7.448,-7.8
1129,-6.448,-8.3
1130,-5.448,-7.8
1131,-4.448,-8.3
1132,-3.448,-7.8
1133,-2.448,-8.3
1134,-1.448,-7.8
1135,-0.448,-8.3
1136,0.552,-7.8
1137,1.552,-8.3
1138,2.552,-7.8
1139,3.552,-8.3
1140,4.552,-7.8
1141,5.552,-8.3
1142,6.552,-7.8
1143,7.552,-8.3
1144,8.552,-7.8
1145,9.552,-8.3
1146,10.552,-7.8
1147,11.552,-8.3
1199,-20.448,-7.3
1200,-19.448,-6.8
1201,-18.448,-7.3
1202,-17.448,-6.8
1203,-16.448,-7.3
1204,-15.448,-6.8
1205,-14.448,-7.3
1206,-13.448,-6.8
1207,-12.448,-7.3
1208,-11.448,-6.8
1209,-10.448,-7.3
1210,-9.448,-6.8
1211,-8.448,-7.3
1212,-7.448,-6.8
1213,-6.448,-7.3
1214,-5.448,-6.8
1215,-4.448,-7.3
1216,-3.448,-6.8
1217,-2.448,-7.3
1218,-1.448,-6.8
1219,-0.448,-7.3
1220,0.552,-6.8
1221,1.552,-7.3
1222,2.552,-6.8
1223,3.552,-7.3
1224,4.552,-6.8
1225,5.552,-7.3
1226,6.552,-6.8
1227,7.552,-7.3
1228,8.552,-6.8
1229,9.552,-7.3
1230,10.552,-6.8
1231,11.552,-7.3
1282,-21.448,-5.8
1283,-20.448,-6.3
1284,-19.448,-5.8
1285,-18.448,-6.3
1286,-17.448,-5.8
1287,-16.448,-6.3
1288,-15.448,-5.8
1289,-14.448,-6.3
1290,-13.448,-5.8
1291,-12.448,-6.3
1292,-11.448,-5.8
1293,-10.448,-6.3
1294,-9.448,-5.8
1295,-8.448,-6.3
1296,-7.448,-5.8
1297,-6.448,-6.3
1298,-5.448,-5.8
1299,-4.448,-6.3
1300,-3.448,-5.8
1301,-2.448,-6.3
1302,-1.448,-5.8
1303,-0.448,-6.3
1304,0.552,-5.8
1305,1.552,-6.3
1306,2.552,-5.8
1307,3.552,-6.3
1308,4.552,-5.8
1309,5.552,-6.3
1310,6.552,-5.8
1311,7.552,-6.3
1312,8.552,-5.8
1313,9.552,-6.3
1314,10.552,-5.8
1315,11.552,-6.3
1327,23.552,-6.3
1328,24.552,-5.8
1329,25.552,-6.3
1330,26.552,-5.8
1366,-21.448,-4.8
1367,-20.448,-5.3
1368,-19.448,-4.8
1369,-18.448,-5.3
1370,-17.448,-4.8
1371,-16.448,-5.3
1372,-15.448,-4.8
1373,-14.448,-5.3
1374,-13.448,-4.8
1375,-12.448,-5.3
1376,-11.448,-4.8
1377,-10.448,-5.3
1378,-9.448,-4.8
1379,-8.448,-5.3
1380,-7.448,-4.8
1381,-6.448,-5.3
1382,-5.448,-4.8
1383,-4.448,-5.3
1384,-3.448,-4.8
1385,-2.448,-5.3
1386,-1.448,-4.8
1387,-0.448,-5.3
1388,0.552,-4.8
1389,1.552,-5.3
1390,2.552,-4.8
1391,3.552,-5.3
1392,4.552,-4.8
1393,5.552,-5.3
1394,6.552,-4.8
1395,7.552,-5.3
1396,8.552,-4.8
1397,9.552,-5.3
1398,10.552,-4.8
1399,11.552,-5.3
1411,23.552,-5.3
1412,24.552,-4.8
1413,25.552,-5.3
1414,26.552,-4.8
1415,27.552,-5.3
1416,28.552,-4.8
1417,29.552,-5.3
1418,30.552,-4.8
1449,-22.448,-4.3
1450,-21.448,-3.8
1451,-20.448,-4.3
1452,-19.448,-3.8
1453,-18.448,-4.3
1454,-17.448,-3.8
1455,-16.448,-4.3
1456,-15.448,-3.8
1457,-14.448,-4.3
1458,-13.448,-3.8
1459,-12.448,-4.3
1460,-11.448,-3.8
1461,-10.448,-4.3
1462,-9.448,-3.8
1463,-8.448,-4.3
1464,-7.448,-3.8
1465,-6.448,-4.3
1466,-5.448,-3.8
1467,-4.448,-4.3
1468,-3.448,-3.8
1469,-2.448,-4.3
1470,-1.448,-3.8
1471,-0.448,-4.3
1472,0.552,-3.8
1473,1.552,-4.3
1474,2.552,-3.8
1475,3.552,-4.3
1476,4.552,-3.8
1477,5.552,-4.3
1478,6.552,-3.8
1479,7.552,-4.3
1480,8.552,-3.8
1481,9.552,-4.3
1482,10.552,-3.8
1483,11.552,-4.3
1495,23.552,-4.3
1496,24.552,-3.8
1497,25.552,-4.3
1498,26.552,-3.8
1499,27.552,-4.3
1500,28.552,-3.8
1501,29.552,-4.3
1502,30.552,-3.8
1503,31.552,-4.3
1504,32.552,-3.8
1505,33.552,-4.3
1506,34.552,-3.8
1532,-23.448,-2.8
1533,-22.448,-3.3
1534,-21.448,-2.8
1535,-20.448,-3.3
1536,-19.448,-2.8
1537,-18.448,-3.3
1538,-17.448,-2.8
1539,-16.448,-3.3
1540,-15.448,-2.8
1541,-14.448,-3.3
1542,-13.448,-2.8
1543,-12.448,-3.3
1544,-11.448,-2.8
1545,-10.448,-3.3
1546,-9.448,-2.8
1547,-8.448,-3.3
1548,-7.448,-2.8
1549,-6.448,-3.3
1550,-5.448,-2.8
1551,-4.448,-3.3
1552,-3.448,-2.8
1553,-2.448,-3.3
1554,-1.448,-2.8
1555,-0.448,-3.3
1556,0.552,-2.8
1557,1.552,-3.3
1558,2.552,-2.8
1559,3.552,-3.3
1560,4.552,-2.8
1561,5.552,-3.3
1562,6.552,-2.8
1563,7.552,-3.3
1564,8.552,-2.8
1565,9.552,-3.3
1566,10.552,-2.8
1567,11.552,-3.3
1579,23.552,-3.3
1580,24.552,-2.8
1581,25.552,-3.3
1582,26.552,-2.8
1583,27.552,-3.3
1584,28.552,-2.8
1585,29.552,-3.3
1586,30.552,-2.8
1587,31.552,-3.3
1588,32.552,-2.8
1589,33.552,-3.3
1590,34.552,-2.8
1616,-23.448,-1.8
1617,-22.448,-2.3
1618,-21.448,-1.8
1619,-20.448,-2.3
1620,-19.448,-1.8
1621,-18.448,-2.3
1622,-17.448,-1.8
1623,-16.448,-2.3
1624,-15.448,-1.8
1625,-14.448,-2.3
1626,-13.448,-1.8
1627,-12.448,-2.3
1628,-11.448,-1.8
1629,-10.448,-2.3
1630,-9.448,-1.8
1631,-8.448,-2.3
1632,-7.448,-1.8
1633,-6.448,-2.3
1634,-5.448,-1.8
1635,-4.448,-2.3
1636,-3.448,-1.8
1637,-2.448,-2.3
1638,-1.448,-1.8
1639,-0.448,-2.3
1640,0.552,-1.8
1641,1.552,-2.3
1642,2.552,-1.8
1643,3.552,-2.3
1644,4.552,-1.8
1645,5.552,-2.3
1646,6.552,-1.8
1647,7.552,-2.3
1648,8.552,-1.8
1649,9.552,-2.3
1650,10.552,-1.8
1651,11.552,-2.3
1663,23.552,-2.3
1664,24.552,-1.8
1665,25.552,-2.3
1666,26.552,-1.8
1667,27.552,-2.3
1668,28.552,-1.8
1669,29.552,-2.3
1670,30.552,-1.8
1671,31.552,-2.3
1672,32.552,-1.8
1673,33.552,-2.3
1674,34.552,-1.8
1700,-23.448,-0.800000000000001
1701,-22.448,-1.3
1702,-21.448,-0.800000000000001
1703,-20.448,-1.3
1704,-19.448,-0.800000000000001
1705,-18.448,-1.3
1706,-17.448,-0.800000000000001
1707,-16.448,-1.3
1708,-15.448,-0.800000000000001
1709,-14.448,-1.3
1710,-13.448,-0.800000000000001
1711,-12.448,-1.3
1712,-11.448,-0.800000000000001
1713,-10.448,-1.3
1714,-9.448,-0.800000000000001
1715,-8.448,-1.3
1716,-7.448,-0.800000000000001
1717,-6.448,-1.3
1718,-5.448,-0.800000000000001
1719,-4.448,-1.3
1720,-3.448,-0.800000000000001
1721,-2.448,-1.3
1722,-1.448,-0.800000000000001
1723,-0.448,-1.3
1724,0.552,-0.800000000000001
1725,1.552,-1.3
1726,2.552,-0.800000000000001
1727,3.552,-1.3
1728,4.552,-0.800000000000001
1729,5.552,-1.3
1730,6.552,-0.800000000000001
1731,7.552,-1.3
1732,8.552,-0.800000000000001
1733,9.552,-1.3
1734,10.552,-0.800000000000001
1735,11.552,-1.3
1747,23.552,-1.3
1748,24.552,-0.800000000000001
1749,25.552,-1.3
1750,26.552,-0.800000000000001
1751,27.552,-1.3
1752,28.552,-0.800000000000001
1753,29.552,-1.3
1754,30.552,-0.800000000000001
1755,31.552,-1.3
1756,32.552,-0.800000000000001
1757,33.552,-1.3
1758,34.552,-0.800000000000001
1783,-24.448,-0.300000000000001
1784,-23.448,0.199999999999999
1785,-22.448,-0.300000000000001
1786,-21.448,0.199999999999999
1787,-20.448,-0.300000000000001
1788,-19.448,0.199999999999999
1789,-18.448,-0.300000000000001
1790,-17.448,0.199999999999999
1791,-16.448,-0.300000000000001
1792,-15.448,0.199999999999999
1793,-14.448,-0.300000000000001
1794,-13.448,0.199999999999999
1795,-12.448,-0.300000000000001
1796,-11.448,0.199999999999999
1797,-10.448,-0.300000000000001
1798,-9.448,0.199999999999999
1799,-8.448,-0.300000000000001
1800,-7.448,0.199999999999999
1801,-6.448,-0.300000000000001
1802,-5.448,0.199999999999999
1803,-4.448,-0.300000000000001
1804,-3.448,0.199999999999999
1805,-2.448,-0.300000000000001
1806,-1.448,0.199999999999999
1807,-0.448,-0.300000000000001
1808,0.552,0.199999999999999
1809,1.552,-0.300000000000001
1810,2.552,0.199999999999999
1811,3.552,-0.300000000000001
1812,4.552,0.199999999999999
1813,5.552,-0.300000000000001
1814,6.552,0.199999999999999
1815,7.552,-0.300000000000001
1816,8.552,0.199999999999999
1817,9.552,-0.300000000000001
1818,10.552,0.199999999999999
1819,11.552,-0.300000000000001
1831,23.552,-0.300000000000001
1832,24.552,0.199999999999999
1833,25.552,-0.300000000000001
1834,26.552,0.199999999999999
1835,27.552,-0.300000000000001
1836,28.552,0.199999999999999
1837,29.552,-0.300000000000001
1838,30.552,0.199999999999999
1839,31.552,-0.300000000000001
1840,32.552,0.199999999999999
1841,33.552,-0.300000000000001
1842,34.552,0.199999999999999
1866,-25.448,1.2
1867,-24.448,0.699999999999999
1868,-23.448,1.2
1869,-22.448,0.699999999999999
1870,-21.448,1.2
1871,-20.448,0.699999999999999
1872,-19.448,1.2
1873,-18.448,0.699999999999999
1874,-17.448,1.2
1875,-16.448,0.699999999999999
1876,-15.448,1.2
1877,-14.448,0.699999999999999
1878,-13.448,1.2
1879,-12.448,0.699999999999999
1880,-11.448,1.2
1881,-10.448,0.699999999999999
1882,-9.448,1.2
1883,-8.448,0.699999999999999
1884,-7.448,1.2
1885,-6.448,0.699999999999999
1886,-5.448,1.2
1887,-4.448,0.699999999999999
1888,-3.448,1.2
1889,-2.448,0.699999999999999
1890,-1.448,1.2
1891,-0.448,0.699999999999999
1892,0.552,1.2
1893,1.552,0.699999999999999
1894,2.552,1.2
1895,3.552,0.699999999999999
1896,4.552,1.2
1897,5.552,0.699999999999999
1898,6.552,1.2
1899,7.552,0.699999999999999
1900,8.552,1.2
1901,9.552,0.699999999999999
1902,10.552,1.2
1903,11.552,0.699999999999999
1915,23.552,0.699999999999999
1916,24.552,1.2
1917,25.552,0.699999999999999
1918,26.552,1.2
1919,27.552,0.699999999999999
1920,28.552,1.2
1921,29.552,0.699999999999999
1922,30.552,1.2
